"거래일자","품목명","반입량(KG)","품목코드","전월반입량(KG)","전월반입량증감률(%)","전년반입량(KG)","전년반입량증감률(%)","평년반입량(KG)","평년반입량증감률(%)"
,"총계","543497000",,"443216000","-18.5","459836000","-15.4","554449285","2.0"
,"소계(감자)","543497000","050100","443216000","-18.5","459836000","-15.4","554449285","2.0"
"20241023","감자","248000","050100","281000","13.3","218000","-12.1","185750","-25.1"
"20241022","감자","226000","050100","null","0.0","null","0.0","220250","-2.5"
"20241021","감자","216000","050100","224000","3.7","184000","-14.8","223400","3.4"
"20241019","감자","155000","050100","null","0.0","177000","14.2","210000","35.5"
"20241018","감자","226000","050100","null","0.0","146000","-35.4","248000","9.7"
"20241017","감자","194000","050100","null","0.0","274000","41.2","238000","22.7"
"20241016","감자","207000","050100","1000","-99.5","318000","53.6","234250","13.2"
"20241015","감자","261000","050100","null","0.0","null","0.0","249000","-4.6"
"20241014","감자","243000","050100","144000","-40.7","171000","-29.6","218200","-10.2"
"20241012","감자","229000","050100","218000","-4.8","241000","5.2","223200","-2.5"
"20241011","감자","302000","050100","252000","-16.6","230000","-23.8","202500","-32.9"
"20241010","감자","265000","050100","182000","-31.3","195000","-26.4","212250","-19.9"
"20241009","감자","260000","050100","266000","2.3","341000","31.2","244500","-6.0"
"20241008","감자","179000","050100","null","0.0","null","0.0","199000","11.2"
"20241007","감자","248000","050100","122000","-50.8","296000","19.4","252400","1.8"
"20241005","감자","213000","050100","268000","25.8","265000","24.4","208000","-2.3"
"20241004","감자","222000","050100","305000","37.4","204000","-8.1","196750","-11.4"
"20241003","감자","188000","050100","285000","51.6","142000","-24.5","183667","-2.3"
"20241002","감자","225000","050100","253000","12.4","173000","-23.1","178667","-20.6"
"20241001","감자","311000","050100","null","0.0","null","0.0","187000","-39.9"
"20240930","감자","337000","050100","188000","-44.2","null","0.0","173000","-48.7"
"20240928","감자","294000","050100","241000","-18.0","4000","-98.6","156400","-46.8"
"20240927","감자","295000","050100","229000","-22.4","174000","-41.0","201750","-31.6"
"20240926","감자","254000","050100","266000","4.7","198000","-22.0","226250","-10.9"
"20240925","감자","266000","050100","null","0.0","290000","9.0","244500","-8.1"
"20240924","감자","216000","050100","224000","3.7","null","0.0","270250","25.1"
"20240923","감자","281000","050100","273000","-2.8","168000","-40.2","204250","-27.3"
"20240921","감자","224000","050100","239000","6.7","177000","-21.0","213333","-4.8"
"20240920","감자","217000","050100","243000","12.0","197000","-9.2","235667","8.6"
"20240916","감자","1000","050100","193000","19200.0","171000","17000.0","221000","22000.0"
"20240914","감자","144000","050100","206000","43.1","212000","47.2","188000","30.6"
"20240913","감자","148000","050100","255000","72.3","218000","47.3","209333","41.4"
"20240912","감자","218000","050100","287000","31.7","206000","-5.5","137333","-37.0"
"20240911","감자","252000","050100","null","0.0","376000","49.2","206000","-18.3"
