"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","수미","579820","669635500","316838","83.0","410172100","63.3","1346166","-56.9","1349494414","-50.4"
"2024-09-중","수미","266028","286643500","490092","-45.7","639198500","-55.2","1248614","-78.7","1234224371","-76.8"
"2024-09-상","수미","591650","600920500","477637","23.9","665784000","-9.7","1236360","-52.1","1206271148","-50.2"
"2024-08-하","수미","583021","616727000","586774","-0.6","746913800","-17.4","1408778","-58.6","1432946414","-57.0"
"2024-08-중","수미","533388","575661300","588619","-9.4","726268900","-20.7","1187779","-55.1","1236944591","-53.5"
"2024-08-상","수미","519615","581143000","700948","-25.9","918653250","-36.7","1425371","-63.5","1340587543","-56.7"
"2024-07-하","수미","677883","665211500","834127","-18.7","1017714100","-34.6","1444588","-53.1","1250976440","-46.8"
"2024-07-중","수미","620248","569712500","715665","-13.3","858987600","-33.7","1485348","-58.2","1206164389","-52.8"
"2024-07-상","수미","826560","738938900","880771","-6.2","970490300","-23.9","1907614","-56.7","1501450516","-50.8"
"2024-06-하","수미","1175485","1153093500","1104683","6.4","1858828600","-38.0","1959421","-40.0","2574712169","-55.2"
"2024-06-중","수미","1416957","1239371650","257466","450.3","2248878700","-44.9","573914","146.9","3357138020","-63.1"
"2024-06-상","수미","924954","998290700","1921484","-51.9","2994282800","-66.7","3081017","-70.0","3820523725","-73.9"
"2024-05-하","수미","1230911","1822941500","1503547","-18.1","3155957100","-42.2","3568326","-65.5","4526134695","-59.7"
"2024-05-중","수미","1122680","2103289500","1773950","-36.7","4650845900","-54.8","2510154","-55.3","4274472750","-50.8"
"2024-05-상","수미","1134031","2783541000","1849344","-38.7","5503298500","-49.4","2647303","-57.2","5164828666","-46.1"
"2024-04-하","수미","793380","2022688500","1313752","-39.6","3717012300","-45.6","2517044","-68.5","4568401230","-55.7"
"2024-04-중","수미","552736","1353955500","1002683","-44.9","3186130000","-57.5","2377058","-76.7","4130229479","-67.2"
"2024-04-상","수미","571410","1571536000","513876","11.2","1597711100","-1.6","2199684","-74.0","3801031196","-58.7"
"2024-03-하","수미","808020","2093706350","664733","21.6","1988607300","5.3","2117654","-61.8","3782613598","-44.6"
"2024-03-중","수미","781333","1998600550","465341","67.9","1289686200","55.0","1908748","-59.1","2884508187","-30.7"
"2024-03-상","수미","572332","1560253700","455703","25.6","1227381900","27.1","1914538","-70.1","2883634240","-45.9"
"2024-02-하","수미","14465","22657560","466651","-96.9","1114738400","-98.0","1442843","-99.0","2196093301","-99.0"
"2024-02-중","수미","39292","78810160","333877","-88.2","686720000","-88.5","1422432","-97.2","1930150040","-95.9"
"2024-02-상","수미","83037","157600160","440060","-81.1","875370100","-82.0","1352464","-93.9","1938174183","-91.9"
"2024-01-하","수미","99730","198522600","201995","-50.6","393946200","-49.6","1458935","-93.2","1914300118","-89.6"
"2024-01-중","수미","94760","123212000","406432","-76.7","736999900","-83.3","1490718","-93.6","2046764764","-94.0"
"2024-01-상","수미","270098","555797100","370874","-27.2","719218500","-22.7","1605991","-83.2","2180646036","-74.5"
"2023-12-하","수미","674456","1296269565","442558","52.4","812897000","59.5","1259663","-46.5","1561210445","-17.0"
"2023-12-중","수미","445049","682239000","255265","74.3","154869100","340.5","1230963","-63.8","792275963","-13.9"
"2023-12-상","수미","439835","680669600","468958","-6.2",,"0.0","1350308","-67.4",,"0.0"
"2023-11-하","수미","399258","621519000","458515","-12.9","707716900","-12.2","1414052","-71.8","1450614492","-57.2"
"2023-11-중","수미","199747","315123600","522232","-61.8","822351700","-61.7","1433211","-86.1","1369537070","-77.0"
"2023-11-상","수미","58729","95206700","667482","-91.2","1034091800","-90.8","1346451","-95.6","1315165065","-92.8"
"2023-10-하","수미","70670","103892100","772524","-90.9","1149523100","-91.0","1555136","-95.5","1509634833","-93.1"
"2023-10-중","수미","175036","203353000","842614","-79.2","1335822100","-84.8","1581223","-88.9","1568503956","-87.0"
"2023-10-상","수미","382949","573567600","589921","-35.1","902721500","-36.5","1614330","-76.3","1583930661","-63.8"
"2023-09-하","수미","316838","410172100","635054","-50.1","993596800","-58.7","1574856","-79.9","1555555227","-73.6"
"2023-09-중","수미","490092","639198500","486144","0.8","817852700","-21.8","1578854","-69.0","1659898841","-61.5"
"2023-09-상","수미","477637","665784000","349862","36.5","510812600","30.3","1599570","-70.1","1532495518","-56.6"
"2023-08-하","수미","586774","746913800","624013","-6.0","951172400","-21.5","1844224","-68.2","1790904518","-58.3"
"2023-08-중","수미","588619","726268900","608646","-3.3","935582400","-22.4","1504743","-60.9","1573882075","-53.9"
"2023-08-상","수미","700948","918653250","566616","23.7","768255600","19.6","1721869","-59.3","1655932811","-44.5"
"2023-07-하","수미","834127","1017714100","618078","35.0","808437050","25.9","1739418","-52.0","1432150142","-28.9"
"2023-07-중","수미","715665","858987600","727652","-1.6","966033300","-11.1","1889813","-62.1","1362985629","-37.0"
"2023-07-상","수미","880771","970490300","754798","16.7","885386800","9.6","2591888","-66.0","1902907008","-49.0"
"2023-06-하","수미","1498220","1858828600","1644688","-8.9","2104758400","-11.7","3677492","-59.3","2831674318","-34.4"
"2023-06-중","수미","1838586","2248878700","1860867","-1.2","2701709600","-16.8","4233504","-56.6","3995606422","-43.7"
"2023-06-상","수미","1921484","2994282800","1718205","11.8","2503733100","19.6","3961124","-51.5","4052174425","-26.1"
"2023-05-하","수미","1503547","3155957100","1825184","-17.6","3182168650","-0.8","4190849","-64.1","4941369684","-36.1"
"2023-05-중","수미","1773950","4650845900","1775074","-0.1","3658873600","27.1","2719123","-34.8","4311904743","7.9"
"2023-05-상","수미","1849344","5503298500","1662084","11.3","4490608000","22.6","2792395","-33.8","5386248980","2.2"
"2023-04-하","수미","1313752","3717012300","1485687","-11.6","4090127600","-9.1","2627717","-50.0","4788837938","-22.4"
"2023-04-중","수미","1002683","3186130000","1574207","-36.3","3469732700","-8.2","2509057","-60.0","4730851305","-32.7"
"2023-04-상","수미","513876","1597711100","1389405","-63.0","3371604900","-52.6","2270818","-77.4","4260462410","-62.5"
"2023-03-하","수미","664733","1988607300","1719504","-61.3","3757832750","-47.1","2180230","-69.5","4100820650","-51.5"
"2023-03-중","수미","465341","1289686200","1573699","-70.4","2747287800","-53.1","1953413","-76.2","3136128553","-58.9"
"2023-03-상","수미","455703","1227381900","1613861","-71.8","3015468150","-59.3","1935478","-76.5","3172694845","-61.3"
"2023-02-하","수미","397469","935456600","975086","-59.2","1877750100","-50.2","1362978","-70.8","2205153204","-57.6"
"2023-02-중","수미","333877","686720000","924394","-63.9","1575723000","-56.4","1544161","-78.4","2248573142","-69.5"
"2023-02-상","수미","440060","875370100","891660","-50.6","1577000900","-44.5","1586072","-72.3","2307061843","-62.1"
"2023-01-하","수미","201995","393946200","1091930","-81.5","1863915500","-78.9","1578720","-87.2","2166896654","-81.8"
"2023-01-중","수미","406432","736999900","1254302","-67.6","2014510000","-63.4","1526201","-73.4","2175871598","-66.1"
"2023-01-상","수미","370874","719218500","1171404","-68.3","1869123750","-61.5","1718299","-78.4","2507433177","-71.3"
"2022-12-하","수미","448538","824054000","1138279","-60.6","1824703500","-54.8","1494325","-70.0","1956811423","-57.9"
"2022-12-중","수미","255265","395865800","851592","-70.0","1083538150","-63.5","1378866","-81.5","1659749459","-76.1"
"2022-12-상","수미","468958","732185200","1166485","-59.8","1539050050","-52.4","1558975","-69.9","1891958905","-61.3"
"2022-11-하","수미","458515","707716900","801997","-42.8","1063402100","-33.4","1710693","-73.2","1824879706","-61.2"
"2022-11-중","수미","522232","822351700","890561","-41.4","1095194900","-24.9","1714192","-69.5","1727989173","-52.4"
"2022-11-상","수미","667482","1034091800","846303","-21.1","881882300","17.3","1618942","-58.8","1718734306","-39.8"
"2022-10-하","수미","772524","1149523100","957210","-19.3","997975500","15.2","1825568","-57.7","1814062110","-36.6"
"2022-10-중","수미","842614","1335822100","1001812","-15.9","1077537200","24.0","1917755","-56.1","1956570361","-31.7"
"2022-10-상","수미","589921","902721500","935103","-36.9","939047000","-3.9","1704842","-65.4","1757284834","-48.6"
"2022-09-하","수미","635054","993596800","981618","-35.3","1087457600","-8.6","1825834","-65.2","1944251175","-48.9"
"2022-09-중","수미","486144","817852700","864759","-43.8","931872600","-12.2","1831984","-73.5","2103076180","-61.1"
"2022-09-상","수미","349862","510812600","1478336","-76.3","1647118000","-69.0","1816196","-80.7","2222676716","-77.0"
"2022-08-하","수미","624013","951172400","1318562","-52.7","1445629900","-34.2","2070445","-69.9","2408316814","-60.5"
"2022-08-중","수미","608646","935582400","1270010","-52.1","1394585200","-32.9","1683804","-63.9","1924226971","-51.4"
"2022-08-상","수미","566616","768255600","1276284","-55.6","1280821300","-40.0","1855194","-69.5","1924880317","-60.1"
"2022-07-하","수미","618078","808437050","1426533","-56.7","1202444800","-32.8","1927958","-67.9","1680527667","-51.9"
"2022-07-중","수미","727652","966033300","1306601","-44.3","941723900","2.6","2081306","-65.0","1601614233","-39.7"
"2022-07-상","수미","754798","885386800","1815149","-58.4","1479715400","-40.2","2935451","-74.3","2314941136","-61.8"
"2022-06-하","수미","1644688","2104758400","2896604","-43.2","2240491005","-6.1","4088952","-59.8","3207610486","-34.4"
"2022-06-중","수미","1860867","2701709600","2928269","-36.5","2161852100","25.0","5025797","-63.0","4401586727","-38.6"
"2022-06-상","수미","1718205","2503733100","4046092","-57.5","3360575600","-25.5","4144280","-58.5","4358663030","-42.6"
"2022-05-하","수미","1825184","3182168650","3701240","-50.7","3721140300","-14.5","4232861","-56.9","5108533446","-37.7"
"2022-05-중","수미","1775074","3658873600","3471789","-48.9","3833932100","-4.6","2781114","-36.2","4582670270","-20.2"
"2022-05-상","수미","1662084","4490608000","2845605","-41.6","3978263100","12.9","2930753","-43.3","5074326974","-11.5"
"2022-04-하","수미","1485687","4090127600","2717202","-45.3","2575082800","58.8","3015656","-50.7","3498620674","16.9"
"2022-04-중","수미","1574207","3469732700","2134100","-26.2",,"0.0","2813712","-44.1",,"0.0"
"2022-04-상","수미","1389405","3371604900","2052704","-32.3",,"0.0","2611392","-46.8",,"0.0"
