"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","청양","652032","2505171830","495866","31.5","2310223745","8.4","788641","-17.3","2899126314","-13.6"
"2024-09-중","청양","437334","2649122155","660291","-33.8","2851070120","-7.1","773347","-43.4","2972657439","-10.9"
"2024-09-상","청양","594396","3061608540","572032","3.9","2089835720","46.5","782642","-24.1","2959664964","3.4"
"2024-08-하","청양","705581","3280346040","721118","-2.2","2152047030","52.4","808788","-12.8","2668130763","22.9"
"2024-08-중","청양","528892","2049870140","618100","-14.4","1521619215","34.7","760542","-30.5","2198132729","-6.7"
"2024-08-상","청양","628573","2016435100","632273","-0.6","1856407980","8.6","808462","-22.3","2372280706","-15.0"
"2024-07-하","청양","599209","2556013570","664938","-9.9","1794691620","42.4","750306","-20.1","2288491607","11.7"
"2024-07-중","청양","561284","2846696630","621089","-9.6","1998663950","42.4","680070","-17.5","2520450823","12.9"
"2024-07-상","청양","713201","2536071380","667506","6.8","1856628645","36.6","766006","-6.9","2594092544","-2.2"
"2024-06-하","청양","761625","2071593390","515123","47.9","2878950390","-28.0","618324","23.2","2729758148","-24.1"
"2024-06-중","청양","842624","2157187060","120710","598.1","2472400520","-12.7","184831","355.9","2697195258","-20.0"
"2024-06-상","청양","747768","2364880990","773116","-3.3","3046153400","-22.4","903508","-17.2","2738646595","-13.6"
"2024-05-하","청양","836583","2875252770","753624","11.0","2822963800","1.9","966242","-13.4","2907423015","-1.1"
"2024-05-중","청양","723839","2378491270","666793","8.6","2802621530","-15.1","869401","-16.7","2488115751","-4.4"
"2024-05-상","청양","729723","2918393560","775194","-5.9","2616531970","11.5","864600","-15.6","2585779573","12.9"
"2024-04-하","청양","595469","2981276950","628166","-5.2","2216371140","34.5","824056","-27.7","2300049295","29.6"
"2024-04-중","청양","654913","3329748940","652029","0.4","2606926520","27.7","844374","-22.4","2462847499","35.2"
"2024-04-상","청양","678771","4148875820","613947","10.6","2266676420","83.0","806237","-15.8","2556944252","62.3"
"2024-03-하","청양","516964","6452038770","789408","-34.5","3591069780","79.7","831298","-37.8","3773329564","71.0"
