"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2024-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","30","84000",,"0.0",,"0.0","6476","-99.5","19031050","-99.6"
"2024-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","5100","14280000","10120","-49.6","24288000","-41.2","24217","-78.9","59775581","-76.1"
"2024-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","10130","27352000","5150","96.7","12360000","121.3","14678","-31.0","35711374","-23.4"
"2024-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","2050","5330000","5440","-62.3","13056000","-59.2","12952","-84.2","32862583","-83.8"
"2024-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","7160","18616000","5220","37.2","12528000","48.6","17731","-59.6","59162167","-68.5"
"2024-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","90","234000","5290","-98.3","12696000","-98.2","13002","-99.3","32439773","-99.3"
"2024-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","160","416000","5760","-97.2","13824000","-97.0","18168","-99.1","47251655","-99.1"
"2024-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","3070","7982000","10350","-70.3","22770000","-64.9","21022","-85.4","71165785","-88.8"
"2024-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","9200","23920000","5800","58.6","12760000","87.5","12737","-27.8","28676706","-16.6"
"2024-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","60","156000","5400","-98.9","11880000","-98.7","10377","-99.4","26770283","-99.4"
"2024-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","5060","13156000",,"0.0","12720000","3.4",,"0.0","32827759","-59.9"
"2024-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","10140","26364000","5410","87.4","11361000","132.1","18578","-45.4","54848568","-51.9"
"2024-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","3060","7956000","3780","-19.0","7938000","0.2","21030","-85.4","56181984","-85.8"
"2024-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","10140","25348000","5450","86.1","11445000","121.5","16899","-40.0","47150207","-46.2"
"2024-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","5060","12144000","5790","-12.6","12159000","-0.1","22666","-77.7","58215221","-79.1"
"2024-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5260","12624000","430","1123.3","903000","1298.0","12673","-58.5","23424903","-46.1"
"2024-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","5070","12168000","1380","267.4","4898000","148.4","13303","-61.9","28478369","-57.3"
"2024-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","10160","24384000","15660","-35.1","74445000","-67.2","17356","-41.5","44895233","-45.7"
"2024-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5080","12192000","17150","-70.4","106526000","-88.6","20057","-74.7","48801448","-75.0"
"2024-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","10220","24528000","10630","-3.9","62123000","-60.5","20134","-49.2","49144583","-50.1"
"2024-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","5070","12168000","23930","-78.8","121057000","-89.9","21639","-76.6","39928031","-69.5"
"2024-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","6060","14544000","25780","-76.5","131512000","-88.9","22315","-72.8","39671245","-63.3"
"2024-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","10120","24288000","24840","-59.3","125020000","-80.6","22050","-54.1","41038318","-40.8"
"2024-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","5070","12168000","30100","-83.2","163675000","-92.6","27076","-81.3","46744405","-74.0"
"2024-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","12140","29136000","18480","-34.3","94763000","-69.3","24750","-50.9","47949967","-39.2"
"2024-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","60","144000","31360","-99.8","171715000","-99.9","22050","-99.7","48296852","-99.7"
"2024-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","10110","24264000","19030","-46.9","106044000","-77.1","21289","-52.5","40517933","-40.1"
"2023-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","7070","16968000","27810","-74.6","153665000","-89.0","19170","-63.1","33697699","-49.6"
"2023-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","10060","24144000","16490","-39.0","31235000","-22.7","16986","-40.8","10701466","125.6"
"2023-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","220","528000","18120","-98.8",,"0.0","13168","-98.3",,"0.0"
"2023-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","90","216000","20060","-99.6","70616000","-99.7","18974","-99.5","26296904","-99.2"
"2023-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","5310","12744000","25170","-78.9","140893000","-91.0","21714","-75.5","37217784","-65.8"
"2023-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","5120","12288000","28810","-82.2","164142000","-92.5","24231","-78.9","40526467","-69.7"
"2023-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","9220","22128000","27980","-67.0","158324000","-86.0","26158","-64.8","47328916","-53.2"
"2023-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","5180","12432000","24770","-79.1","123051000","-89.9","19584","-73.5","38272332","-67.5"
"2023-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","10160","24384000","14530","-30.1","78875000","-69.1","15952","-36.3","32474116","-24.9"
"2023-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","4110","9864000","15800","-74.0","72845000","-86.5","18805","-78.1","36190008","-72.7"
"2023-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","10120","24288000","18520","-45.4","59545000","-59.2","21661","-53.3","37863934","-35.9"
"2023-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","5150","12360000","5680","-9.3","30910000","-60.0","14370","-64.2","30656501","-59.7"
"2023-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5440","13056000","7020","-22.5","20840000","-37.4","15046","-63.8","32144262","-59.4"
"2023-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","5220","12528000","14060","-62.9","78704000","-84.1","17731","-70.6","35799667","-65.0"
"2023-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","5290","12696000","10540","-49.8","49568000","-74.4","15025","-64.8","31509073","-59.7"
"2023-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5760","13824000","16230","-64.5","103920000","-86.7","19514","-70.5","35290733","-60.8"
"2023-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","10350","22770000","21940","-52.8","140672000","-83.8","21022","-50.8","33243533","-31.5"
"2023-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","5800","12760000","10580","-45.2","57662000","-77.9","14093","-58.8","27600282","-53.8"
"2023-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5400","11880000","920","487.0","2024000","487.0","14666","-63.2","25025517","-52.5"
