"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","대파(일반)","2762568","5586442280","2368999","16.6","5056582300","10.5","3233132","-14.6","5627921072","-0.7"
"2024-09-중","대파(일반)","1950101","3738722250","2977648","-34.5","5284857500","-29.3","3208922","-39.2","5402243474","-30.8"
"2024-09-상","대파(일반)","2634755","4064745500","2679534","-1.7","3932839300","3.4","3047001","-13.5","4935420222","-17.6"
"2024-08-하","대파(일반)","2968749","4048532960","3040870","-2.4","4449764800","-9.0","3157662","-6.0","4689705284","-13.7"
"2024-08-중","대파(일반)","2289537","3358314600","2421038","-5.4","4038277600","-16.8","2892375","-20.8","4753186907","-29.3"
"2024-08-상","대파(일반)","2185942","3802511710","2450178","-10.8","4362258700","-12.8","2718403","-19.6","5009998005","-24.1"
"2024-07-하","대파(일반)","2439543","3172704100","2744786","-11.1","4312533500","-26.4","2941304","-17.1","4138017030","-23.3"
"2024-07-중","대파(일반)","2310270","2788442000","2345752","-1.5","3696962010","-24.6","2575209","-10.3","3780643817","-26.2"
"2024-07-상","대파(일반)","2566866","3169097500","2168438","18.4","2863547420","10.7","2621892","-2.1","3315462165","-4.4"
"2024-06-하","대파(일반)","2100550","3156275800","1723961","21.8","4107466500","-23.2","1887651","11.3","3633892966","-13.1"
"2024-06-중","대파(일반)","2360502","2794591300","355268","564.4","2985883200","-6.4","589640","300.3","3671293714","-23.9"
"2024-06-상","대파(일반)","2281070","2931664600","2833440","-19.5","3580160700","-18.1","2901645","-21.4","3987836130","-26.5"
"2024-05-하","대파(일반)","2934680","4185155600","2624736","11.8","4136646700","1.2","3174362","-7.6","4332715690","-3.4"
"2024-05-중","대파(일반)","2503300","3860900900","2889817","-13.4","3907899830","-1.2","2802814","-10.7","3690312646","4.6"
"2024-05-상","대파(일반)","2529590","5107137600","2671362","-5.3","5184118180","-1.5","2698175","-6.2","3961888681","28.9"
"2024-04-하","대파(일반)","2266316","4443533400","2427210","-6.6","2959687970","50.1","2717452","-16.6","3097844084","43.4"
"2024-04-중","대파(일반)","2526984","4136497400","3167801","-20.2","2991740980","38.3","2873930","-12.1","2863119678","44.5"
"2024-04-상","대파(일반)","2915917","5178750100","2823925","3.3","3257055700","59.0","2977818","-2.1","3095713375","67.3"
"2024-03-하","대파(일반)","2897888","5760981780","3671792","-21.1","4764094780","20.9","3411960","-15.1","3829817183","50.4"
"2024-03-중","대파(일반)","3196266","7301831480","3045719","4.9","5060602050","44.3","3266457","-2.1","4391514959","66.3"
"2024-03-상","대파(일반)","2902277","7669447760","3259413","-11.0","7225890690","6.1","3267297","-11.2","5243987828","46.3"
"2024-02-하","대파(일반)","2423373","7600522150","2824402","-14.2","5311750600","43.1","2940506","-17.6","3827170707","98.6"
"2024-02-중","대파(일반)","2315652","5985252400","2781372","-16.7","4544765000","31.7","3068982","-24.5","4044046250","48.0"
"2024-02-상","대파(일반)","2889378","9634576500","3355256","-13.9","5062104500","90.3","3533072","-18.2","4275801656","125.3"
"2024-01-하","대파(일반)","2984634","8577885160","1963201","52.0","3471637500","147.1","3682800","-19.0","4956569651","73.1"
"2024-01-중","대파(일반)","3202099","7301331200","3583764","-10.6","4791072360","52.4","3467723","-7.7","4101850914","78.0"
"2024-01-상","대파(일반)","3238442","8716485000","3014347","7.4","3823598150","128.0","3765218","-14.0","5242882585","66.3"
"2023-12-하","대파(일반)","2709248","9867469380","2957613","-8.4","5648064090","74.7","3227803","-16.1","4449585601","121.8"
"2023-12-중","대파(일반)","2490017","6071988930","2631169","-5.4","2654997300","128.7","3069089","-18.9","2556395010","137.5"
"2023-12-상","대파(일반)","2190017","6091327000","2737864","-20.0",,"0.0","2942253","-25.6",,"0.0"
"2023-11-하","대파(일반)","2927727","7389601260","2882509","1.6","4095738510","80.4","3117747","-6.1","4111646328","79.7"
"2023-11-중","대파(일반)","2459305","6878581090","2572049","-4.4","4120458720","66.9","3008538","-18.3","4857878767","41.6"
"2023-11-상","대파(일반)","2473498","7649751800","2809501","-12.0","4440736650","72.3","3009663","-17.8","4360489736","75.4"
"2023-10-하","대파(일반)","2702082","7521316925","2800997","-3.5","4129238230","82.1","3221011","-16.1","4826332130","55.8"
"2023-10-중","대파(일반)","2707733","6164922600","2950217","-8.2","4506967660","36.8","3010221","-10.0","4508618219","36.7"
"2023-10-상","대파(일반)","2492911","5972023720","2398967","3.9","4549219680","31.3","2816102","-11.5","5102247560","17.0"
"2023-09-하","대파(일반)","2368999","5056582300","2773688","-14.6","4358635020","16.0","3216679","-26.4","5715363860","-11.5"
"2023-09-중","대파(일반)","2977648","5284857500","2181782","36.5","3167824840","66.8","3187919","-6.6","5839208772","-9.5"
"2023-09-상","대파(일반)","2679534","3932839300","2937863","-8.8","5374991460","-26.8","2868440","-6.6","5576895058","-29.5"
"2023-08-하","대파(일반)","3040870","4449764800","3189436","-4.7","4578257220","-2.8","2981981","2.0","5047447390","-11.8"
"2023-08-중","대파(일반)","2421038","4038277600","2847845","-15.0","4715255210","-14.4","2714852","-10.8","4412955037","-8.5"
"2023-08-상","대파(일반)","2450178","4362258700","2352003","4.2","4512128680","-3.3","2536450","-3.4","4331455868","0.7"
"2023-07-하","대파(일반)","2744786","4312533500","2851565","-3.7","4152325800","3.9","2640719","3.9","3451872760","24.9"
"2023-07-중","대파(일반)","2345752","3696962010","2641372","-11.2","4482196880","-17.5","2510764","-6.6","3202935635","15.4"
"2023-07-상","대파(일반)","2168438","2863547420","2146031","1.0","3165497300","-9.5","2491027","-13.0","2965352859","-3.4"
"2023-06-하","대파(일반)","2476171","4107466500","2535161","-2.3","3602675500","14.0","2582014","-4.1","3166037903","29.7"
"2023-06-중","대파(일반)","2431568","2985883200","2384249","2.0","3082811200","-3.1","2545552","-4.5","3336810454","-10.5"
"2023-06-상","대파(일반)","2833440","3580160700","2627867","7.8","3695143600","-3.1","2717639","4.3","3729993230","-4.0"
"2023-05-하","대파(일반)","2624736","4136646700","2656816","-1.2","3595752850","15.0","3033356","-13.5","3931616474","5.2"
"2023-05-중","대파(일반)","2889817","3907899830","2572875","12.3","3012476450","29.7","2639992","9.5","3016934450","29.5"
"2023-05-상","대파(일반)","2671362","5184118180","2299024","16.2","2844402300","82.3","2602136","2.7","2633815771","96.8"
"2023-04-하","대파(일반)","2427210","2959687970","2452171","-1.0","2539057750","16.6","2656485","-8.6","2511514422","17.8"
"2023-04-중","대파(일반)","3167801","2991740980","2694487","17.6","2674559550","11.9","2862376","10.7","2248711033","33.0"
"2023-04-상","대파(일반)","2823925","3257055700","2520481","12.0","2354599250","38.3","2953245","-4.4","2228571615","46.1"
"2023-03-하","대파(일반)","3671792","4764094780","3258737","12.7","3612411950","31.9","3398515","8.0","3321549785","43.4"
"2023-03-중","대파(일반)","3045719","5060602050","2629518","15.8","3500418250","44.6","3226749","-5.6","3208124266","57.7"
"2023-03-상","대파(일반)","3259413","7225890690","2660338","22.5","4302882750","67.9","3271005","-0.4","3602279736","100.6"
"2023-02-하","대파(일반)","2473813","4586479900","2148005","15.2","2790026300","64.4","2587228","-4.4","2857706256","60.5"
"2023-02-중","대파(일반)","2781372","4544765000","2260584","23.0","2458523200","84.9","3058561","-9.1","3850541576","18.0"
"2023-02-상","대파(일반)","3355256","5062104500","2080492","61.3","2234155400","126.6","3469074","-3.3","5000761976","1.2"
"2023-01-하","대파(일반)","1963201","3471637500","3306386","-40.6","4228822100","-17.9","3745841","-47.6","4888018963","-29.0"
"2023-01-중","대파(일반)","3583764","4791072360","2823735","26.9","3278597700","46.1","3406512","5.2","4063315588","17.9"
"2023-01-상","대파(일반)","3014348","3823598150","2293441","31.4","2494738250","53.3","3748410","-19.6","5456992672","-29.9"
"2022-12-하","대파(일반)","3431583","6318172990","3114557","10.2","3658827700","72.7","3647865","-5.9","4645038241","36.0"
"2022-12-중","대파(일반)","2631169","4283305410","2314469","13.7","2409014050","77.8","3124386","-15.8","4133288689","3.6"
"2022-12-상","대파(일반)","2737864","3860204960","2525228","8.4","3457214090","11.7","2973742","-7.9","4119117879","-6.3"
