"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®(KG)","Ç°¸ñÄÚµå","Àü¿ù¹ÝÀÔ·®(KG)","Àü¿ù¹ÝÀÔ·®Áõ°¨·ü(%)","Àü³â¹ÝÀÔ·®(KG)","Àü³â¹ÝÀÔ·®Áõ°¨·ü(%)","Æò³â¹ÝÀÔ·®(KG)","Æò³â¹ÝÀÔ·®Áõ°¨·ü(%)"
,"ÃÑ°è","55490000",,"46501000","-16.2","49276000","-11.2","57066019","2.8"
,"¼Ò°è(¸¶´Ã)","55490000","120900","46501000","-16.2","49276000","-11.2","57066019","2.8"
"20241023","¸¶´Ã","11000","120900","11000","0.0","30000","172.7","22500","104.5"
"20241022","¸¶´Ã","12000","120900","null","0.0","null","0.0","22500","87.5"
"20241021","¸¶´Ã","17000","120900","9000","-47.1","11000","-35.3","18400","8.2"
"20241019","¸¶´Ã","8000","120900","null","0.0","12000","50.0","19400","142.5"
"20241018","¸¶´Ã","9000","120900","null","0.0","11000","22.2","24000","166.7"
"20241017","¸¶´Ã","15000","120900","null","0.0","13000","-13.3","14500","-3.3"
"20241016","¸¶´Ã","18000","120900","4000","-77.8","16000","-11.1","16000","-11.1"
"20241015","¸¶´Ã","10000","120900","null","0.0","null","0.0","19250","92.5"
"20241014","¸¶´Ã","15000","120900","17000","13.3","14000","-6.7","21000","40.0"
"20241012","¸¶´Ã","9000","120900","9000","0.0","9000","0.0","15600","73.3"
"20241011","¸¶´Ã","8000","120900","17000","112.5","11000","37.5","18000","125.0"
"20241010","¸¶´Ã","10000","120900","12000","20.0","9000","-10.0","19000","90.0"
"20241009","¸¶´Ã","9000","120900","17000","88.9","18000","100.0","15000","66.7"
"20241008","¸¶´Ã","12000","120900","null","0.0","null","0.0","22500","87.5"
"20241007","¸¶´Ã","17000","120900","8000","-52.9","8000","-52.9","-69000","-505.9"
"20241005","¸¶´Ã","7000","120900","9000","28.6","8000","14.3","13400","91.4"
"20241004","¸¶´Ã","14000","120900","14000","0.0","8000","-42.9","14250","1.8"
"20241003","¸¶´Ã","7000","120900","10000","42.9","14000","100.0","16000","128.6"
"20241002","¸¶´Ã","8000","120900","15000","87.5","11000","37.5","19333","141.7"
"20241001","¸¶´Ã","8000","120900","null","0.0","null","0.0","31333","291.7"
"20240930","¸¶´Ã","9000","120900","10000","11.1","null","0.0","19750","119.4"
"20240928","¸¶´Ã","7000","120900","10000","42.9","8000","14.3","23000","228.6"
"20240927","¸¶´Ã","8000","120900","6000","-25.0","17000","112.5","14250","78.1"
"20240926","¸¶´Ã","8000","120900","9000","12.5","14000","75.0","36000","350.0"
"20240925","¸¶´Ã","8000","120900","null","0.0","29000","262.5","25000","212.5"
"20240924","¸¶´Ã","11000","120900","5000","-54.5","null","0.0","29000","163.6"
"20240923","¸¶´Ã","11000","120900","6000","-45.5","8000","-27.3","19250","75.0"
"20240921","¸¶´Ã","9000","120900","10000","11.1","11000","22.2","18000","100.0"
"20240920","¸¶´Ã","10000","120900","8000","-20.0","15000","50.0","25333","153.3"
"20240916","¸¶´Ã","4000","120900","8000","100.0","17000","325.0","26400","560.0"
"20240914","¸¶´Ã","17000","120900","14000","-17.6","11000","-35.3","17250","1.5"
"20240913","¸¶´Ã","18000","120900","16000","-11.1","11000","-38.9","11333","-37.0"
"20240912","¸¶´Ã","9000","120900","14000","55.6","15000","66.7","50333","459.3"
"20240911","¸¶´Ã","17000","120900","null","0.0","18000","5.9","22250","30.9"
"20240910","¸¶´Ã","12000","120900","11000","-8.3","null","0.0","19500","62.5"
"20240909","¸¶´Ã","17000","120900","9000","-47.1","12000","-29.4","20800","22.4"
"20240907","¸¶´Ã","8000","120900","13000","62.5","11000","37.5","31800","297.5"
"20240906","¸¶´Ã","13000","120900","11000","-15.4","17000","30.8","23750","82.7"
"20240905","¸¶´Ã","9000","120900","10000","11.1","15000","66.7","17500","94.4"
"20240904","¸¶´Ã","14000","120900","null","0.0","22000","57.1","20250","44.6"
"20240903","¸¶´Ã","10000","120900","null","0.0","null","0.0","21750","117.5"
"20240902","¸¶´Ã","15000","120900","15000","0.0","9000","-40.0","26400","76.0"
"20240831","¸¶´Ã","13000","120900","11000","-15.4","8000","-38.5","23800","83.1"
"20240830","¸¶´Ã","10000","120900","11000","10.0","44000","340.0","28250","182.5"
"20240829","¸¶´Ã","11000","120900","15000","36.4","11000","0.0","18000","63.6"
"20240828","¸¶´Ã","10000","120900","null","0.0","13000","30.0","15750","57.5"
"20240827","¸¶´Ã","6000","120900","10000","66.7","null","0.0","37500","525.0"
"20240826","¸¶´Ã","9000","120900","9000","0.0","7000","-22.2","89800","897.8"
"20240824","¸¶´Ã","5000","120900","8000","60.0","9000","80.0","39600","692.0"
"20240823","¸¶´Ã","6000","120900","18000","200.0","9000","50.0","26250","337.5"
"20240822","¸¶´Ã","6000","120900","12000","100.0","16000","166.7","19750","229.2"
"20240821","¸¶´Ã","10000","120900","null","0.0","25000","150.0","18000","80.0"
"20240820","¸¶´Ã","8000","120900","8000","0.0","null","0.0","23250","190.6"
"20240819","¸¶´Ã","13000","120900","11000","-15.4","9000","-30.8","18400","41.5"
"20240817","¸¶´Ã","12000","120900","15000","25.0","9000","-25.0","15200","26.7"
"20240816","¸¶´Ã","8000","120900","16000","100.0","11000","37.5","18250","128.1"
"20240815","¸¶´Ã","8000","120900","32000","300.0","11000","37.5","13250","65.6"
"20240814","¸¶´Ã","14000","120900","null","0.0","17000","21.4","17500","25.0"
"20240813","¸¶´Ã","16000","120900","14000","-12.5","null","0.0","26750","67.2"
"20240812","¸¶´Ã","14000","120900","31000","121.4","9000","-35.7","20600","47.1"
"20240810","¸¶´Ã","11000","120900","14000","27.3","31000","181.8","19000","72.7"
"20240809","¸¶´Ã","9000","120900","14000","55.6","21000","133.3","132250","1369.4"
"20240808","¸¶´Ã","10000","120900","20000","100.0","29000","190.0","20667","106.7"
"20240807","¸¶´Ã","13000","120900","null","0.0","12000","-7.7","34000","161.5"
"20240806","¸¶´Ã","11000","120900","19000","72.7","null","0.0","20667","87.9"
"20240805","¸¶´Ã","10000","120900","24000","140.0","null","0.0","14250","42.5"
"20240802","¸¶´Ã","15000","120900","20000","33.3","14000","-6.7","18500","23.3"
"20240801","¸¶´Ã","30000","120900","17000","-43.3","11000","-63.3","14333","-52.2"
"20240731","¸¶´Ã","11000","120900","null","0.0","13000","18.2","15500","40.9"
"20240730","¸¶´Ã","11000","120900","null","0.0","null","0.0","14000","27.3"
"20240729","¸¶´Ã","15000","120900","17000","13.3","24000","60.0","27800","85.3"
"20240727","¸¶´Ã","10000","120900","27000","170.0","22000","120.0","17600","76.0"
"20240726","¸¶´Ã","9000","120900","47000","422.2","11000","22.2","15000","66.7"
"20240725","¸¶´Ã","8000","120900","43000","437.5","13000","62.5","15000","87.5"
"20240724","¸¶´Ã","8000","120900","33000","312.5","15000","87.5","18000","125.0"
"20240723","¸¶´Ã","18000","120900","null","0.0","null","0.0","14750","-18.1"
"20240722","¸¶´Ã","12000","120900","34000","183.3","14000","16.7","22600","88.3"
"20240720","¸¶´Ã","8000","120900","55000","587.5","9000","12.5","15600","95.0"
"20240719","¸¶´Ã","11000","120900","35000","218.2","23000","109.1","19750","79.5"
"20240718","¸¶´Ã","11000","120900","48000","336.4","16000","45.5","18750","70.5"
"20240717","¸¶´Ã","15000","120900","47000","213.3","21000","40.0","26750","78.3"
"20240716","¸¶´Ã","16000","120900","null","0.0","null","0.0","29500","84.4"
"20240715","¸¶´Ã","32000","120900","35000","9.4","7000","-78.1","20400","-36.3"
"20240713","¸¶´Ã","14000","120900","48000","242.9","17000","21.4","22400","60.0"
"20240712","¸¶´Ã","31000","120900","75000","141.9","12000","-61.3","21250","-31.5"
"20240711","¸¶´Ã","19000","120900","37000","94.7","25000","31.6","23000","21.1"
"20240710","¸¶´Ã","14000","120900","59000","321.4","15000","7.1","23750","69.6"
"20240709","¸¶´Ã","14000","120900","null","0.0","null","0.0","23500","67.9"
"20240708","¸¶´Ã","20000","120900","32000","60.0","17000","-15.0","26400","32.0"
"20240706","¸¶´Ã","19000","120900","33000","73.7","40000","110.5","37000","94.7"
"20240705","¸¶´Ã","24000","120900","32000","33.3","11000","-54.2","26500","10.4"
"20240704","¸¶´Ã","22000","120900","56000","154.5","29000","31.8","31500","43.2"
"20240703","¸¶´Ã","11000","120900","67000","509.1","39000","254.5","33000","200.0"
"20240702","¸¶´Ã","20000","120900","null","0.0","null","0.0","27250","36.3"
"20240701","¸¶´Ã","17000","120900","30000","76.5","18000","5.9","34600","103.5"
"20240629","¸¶´Ã","17000","120900","15000","-11.8","68000","300.0","40000","135.3"
"20240628","¸¶´Ã","34000","120900","41000","20.6","33000","-2.9","32750","-3.7"
"20240627","¸¶´Ã","27000","120900","54000","100.0","19000","-29.6","37000","37.0"
"20240626","¸¶´Ã","47000","120900","null","0.0","43000","-8.5","56750","20.7"
"20240625","¸¶´Ã","43000","120900","30000","-30.2","null","0.0","48750","13.4"
"20240624","¸¶´Ã","33000","120900","38000","15.2","58000","75.8","66000","100.0"
"20240622","¸¶´Ã","34000","120900","30000","-11.8","37000","8.8","43800","28.8"
"20240621","¸¶´Ã","45000","120900","52000","15.6","32000","-28.9","48750","8.3"
"20240620","¸¶´Ã","55000","120900","37000","-32.7","51000","-7.3","47500","-13.6"
"20240619","¸¶´Ã","35000","120900","null","0.0","64000","82.9","44750","27.9"
"20240618","¸¶´Ã","48000","120900","10000","-79.2","null","0.0","44250","-7.8"
"20240617","¸¶´Ã","47000","120900","16000","-66.0","37000","-21.3","48600","3.4"
"20240615","¸¶´Ã","35000","120900","27000","-22.9","46000","31.4","50600","44.6"
"20240614","¸¶´Ã","45000","120900","40000","-11.1","49000","8.9","55500","23.3"
"20240613","¸¶´Ã","48000","120900","100000","108.3","47000","-2.1","61500","28.1"
"20240612","¸¶´Ã","75000","120900","null","0.0","75000","0.0","56000","-25.3"
"20240611","¸¶´Ã","37000","120900","24000","-35.1","null","0.0","57500","55.4"
"20240610","¸¶´Ã","59000","120900","32000","-45.8","49000","-16.9","65000","10.2"
"20240608","¸¶´Ã","32000","120900","28000","-12.5","90000","181.3","63600","98.8"
"20240607","¸¶´Ã","50000","120900","39000","-22.0","71000","42.0","59750","19.5"
"20240606","¸¶´Ã","33000","120900","26000","-21.2","70000","112.1","85250","158.3"
"20240605","¸¶´Ã","32000","120900","null","0.0","91000","184.4","78250","144.5"
"20240604","¸¶´Ã","56000","120900","28000","-50.0","null","0.0","64500","15.2"
"20240603","¸¶´Ã","67000","120900","15000","-77.6","52000","-22.4","83400","24.5"
"20240601","¸¶´Ã","30000","120900","8000","-73.3","69000","130.0","71600","138.7"
"20240531","¸¶´Ã","44000","120900","15000","-65.9","55000","25.0","62250","41.5"
"20240530","¸¶´Ã","58000","120900","15000","-74.1","44000","-24.1","68500","18.1"
"20240529","¸¶´Ã","15000","120900","24000","60.0","89000","493.3","73500","390.0"
"20240528","¸¶´Ã","41000","120900","null","0.0","null","0.0","53500","30.5"
"20240527","¸¶´Ã","54000","120900","9000","-83.3","29000","-46.3","66800","23.7"
"20240525","¸¶´Ã","30000","120900","9000","-70.0","34000","13.3","84600","182.0"
"20240524","¸¶´Ã","38000","120900","8000","-78.9","45000","18.4","52333","37.7"
"20240523","¸¶´Ã","51000","120900","11000","-78.4","69000","35.3","77500","52.0"
"20240522","¸¶´Ã","30000","120900","18000","-40.0","96000","220.0","70750","135.8"
"20240521","¸¶´Ã","52000","120900","null","0.0","null","0.0","49500","-4.8"
"20240520","¸¶´Ã","37000","120900","12000","-67.6","35000","-5.4","50400","36.2"
"20240518","¸¶´Ã","10000","120900","11000","10.0","91000","810.0","50400","404.0"
"20240517","¸¶´Ã","16000","120900","13000","-18.8","52000","225.0","45000","181.3"
"20240516","¸¶´Ã","18000","120900","13000","-27.8","65000","261.1","50750","181.9"
"20240515","¸¶´Ã","27000","120900","20000","-25.9","55000","103.7","53000","96.3"
"20240514","¸¶´Ã","40000","120900","null","0.0","null","0.0","35000","-12.5"
"20240513","¸¶´Ã","100000","120900","11000","-89.0","103000","3.0","56800","-43.2"
"20240511","¸¶´Ã","24000","120900","16000","-33.3","35000","45.8","51000","112.5"
"20240510","¸¶´Ã","32000","120900","15000","-53.1","12000","-62.5","25500","-20.3"
"20240509","¸¶´Ã","16000","120900","24000","50.0","18000","12.5","46500","190.6"
"20240508","¸¶´Ã","28000","120900","20000","-28.6","39000","39.3","41500","48.2"
"20240507","¸¶´Ã","39000","120900","null","0.0","null","0.0","51750","32.7"
"20240506","¸¶´Ã","26000","120900","14000","-46.2","20000","-23.1","29000","11.5"
"20240504","¸¶´Ã","28000","120900","14000","-50.0","43000","53.6","47400","69.3"
"20240503","¸¶´Ã","15000","120900","17000","13.3","14000","-6.7","18500","23.3"
"20240502","¸¶´Ã","9000","120900","21000","133.3","29000","222.2","37000","311.1"
"20240501","¸¶´Ã","8000","120900","27000","237.5","8000","0.0","36750","359.4"
"20240430","¸¶´Ã","15000","120900","30000","100.0","null","0.0","-1500","-110.0"
"20240429","¸¶´Ã","24000","120900","21000","-12.5","29000","20.8","31200","30.0"
"20240427","¸¶´Ã","9000","120900","13000","44.4","23000","155.6","34400","282.2"
"20240426","¸¶´Ã","11000","120900","16000","45.5","8000","-27.3","23250","111.4"
"20240425","¸¶´Ã","9000","120900","25000","177.8","20000","122.2","26250","191.7"
"20240424","¸¶´Ã","8000","120900","null","0.0","41000","412.5","27000","237.5"
"20240423","¸¶´Ã","11000","120900","32000","190.9","null","0.0","68500","522.7"
"20240422","¸¶´Ã","18000","120900","30000","66.7","12000","-33.3","22600","25.6"
"20240420","¸¶´Ã","12000","120900","12000","0.0","28000","133.3","32200","168.3"
"20240419","¸¶´Ã","9000","120900","21000","133.3","17000","88.9","21500","138.9"
"20240418","¸¶´Ã","11000","120900","13000","18.2","14000","27.3","21333","93.9"
"20240417","¸¶´Ã","13000","120900","null","0.0","20000","53.8","20250","55.8"
"20240416","¸¶´Ã","13000","120900","15000","15.4","null","0.0","19750","51.9"
"20240415","¸¶´Ã","20000","120900","13000","-35.0","29000","45.0","31400","57.0"
"20240413","¸¶´Ã","11000","120900","18000","63.6","18000","63.6","22000","100.0"
"20240412","¸¶´Ã","15000","120900","11000","-26.7","18000","20.0","27400","82.7"
"20240411","¸¶´Ã","16000","120900","13000","-18.8","21000","31.3","26250","64.1"
"20240410","¸¶´Ã","15000","120900","null","0.0","31000","106.7","28500","90.0"
"20240409","¸¶´Ã","24000","120900","12000","-50.0","null","0.0","22500","-6.3"
"20240408","¸¶´Ã","20000","120900","14000","-30.0","15000","-25.0","21600","8.0"
"20240406","¸¶´Ã","14000","120900","14000","0.0","16000","14.3","22800","62.9"
"20240405","¸¶´Ã","16000","120900","15000","-6.3","20000","25.0","21500","34.4"
"20240404","¸¶´Ã","14000","120900","23000","64.3","18000","28.6","25000","78.6"
"20240403","¸¶´Ã","17000","120900","null","0.0","30000","76.5","27750","63.2"
"20240402","¸¶´Ã","21000","120900","null","0.0","null","0.0","27000","28.6"
"20240401","¸¶´Ã","27000","120900","11000","-59.3","24000","-11.1","27400","1.5"
"20240330","¸¶´Ã","30000","120900","14000","-53.3","21000","-30.0","29200","-2.7"
"20240329","¸¶´Ã","21000","120900","14000","-33.3","39000","85.7","30500","45.2"
"20240328","¸¶´Ã","19000","120900","13000","-31.6","21000","10.5","27000","42.1"
"20240327","¸¶´Ã","13000","120900","12000","-7.7","29000","123.1","27500","111.5"
"20240326","¸¶´Ã","16000","120900","20000","25.0","null","0.0","25250","57.8"
"20240325","¸¶´Ã","25000","120900","null","0.0","19000","-24.0","35000","40.0"
"20240323","¸¶´Ã","32000","120900","10000","-68.8","18000","-43.8","24800","-22.5"
"20240322","¸¶´Ã","30000","120900","12000","-60.0","17000","-43.3","25250","-15.8"
"20240321","¸¶´Ã","29000","120900","7000","-75.9","19000","-34.5","24500","-15.5"
"20240320","¸¶´Ã","12000","120900","11000","-8.3","23000","91.7","25000","108.3"
"20240319","¸¶´Ã","21000","120900","20000","-4.8","null","0.0","24250","15.5"
"20240318","¸¶´Ã","13000","120900","null","0.0","12000","-7.7","20800","60.0"
"20240316","¸¶´Ã","15000","120900","8000","-46.7","20000","33.3","22400","49.3"
"20240315","¸¶´Ã","13000","120900","10000","-23.1","20000","53.8","21250","63.5"
"20240314","¸¶´Ã","13000","120900","11000","-15.4","11000","-15.4","20750","59.6"
