"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","신고","323835","757624920","1930809","-83.2","6696943000","-88.7","1247556","-74.0","3895574807","-80.6"
"2024-09-중","신고","1085421","4369719900","3579777","-69.7","12092861700","-63.9","2021892","-46.3","6696385999","-34.7"
"2024-09-상","신고","3539181","13716073120","346592","921.1","1209265000","1034.2","2119149","67.0","6605335939","107.7"
"2024-08-하","신고","382044","1397615000","43734","773.6","117955000","1084.9","352514","8.4","1171333966","19.3"
"2024-08-중","신고","4320","18378000","15609","-72.3","45192000","-59.3","28602","-84.9","71348504","-74.2"
"2024-08-상","신고","2318","7424000","54001","-95.7","156270000","-95.2","85381","-97.3","233090896","-96.8"
"2024-07-하","신고","41430","310692120","208438","-80.1","483510000","-35.7","215951","-80.8","544945316","-43.0"
"2024-07-중","신고","84074","623447000","208632","-59.7","485367300","28.4","265096","-68.3","719295323","-13.3"
"2024-07-상","신고","147840","1390357000","281794","-47.5","695677000","99.9","316718","-53.3","994651423","39.8"
"2024-06-하","신고","103415","831577120","211546","-51.1","816281800","1.9","210649","-50.9","943135003","-11.8"
"2024-06-중","신고","121710","1016010000","81300","49.7","800481530","26.9","74245","63.9","906001048","12.1"
"2024-06-상","신고","130695","1025219000","276154","-52.7","740082500","38.5","369541","-64.6","1039312477","-1.4"
"2024-05-하","신고","147245","1022911520","414158","-64.4","872931600","17.2","340439","-56.7","945534836","8.2"
"2024-05-중","신고","165529","1022009800","374976","-55.9","722842319","41.4","342830","-51.7","904851559","12.9"
"2024-05-상","신고","242636","1441647000","498570","-51.3","926009350","55.7","410809","-40.9","1017317719","41.7"
"2024-04-하","신고","232365","1431399000","396649","-41.4","699933100","104.5","466920","-50.2","1171542320","22.2"
"2024-04-중","신고","224864","1359553050","509601","-55.9","975547850","39.4","386452","-41.8","1025092572","32.6"
"2024-04-상","신고","261495","1334011000","349132","-25.1","614333380","117.1","438099","-40.3","1000394043","33.3"
"2024-03-하","신고","255364","1402234600","581398","-56.1","1009481000","38.9","443557","-42.4","1047909048","33.8"
"2024-03-중","신고","301376","1640651300","414004","-27.2","724569000","126.4","406606","-25.9","953002717","72.2"
"2024-03-상","신고","233515","1213751000","509681","-54.2","1012380950","19.9","418445","-44.2","988897155","22.7"
"2024-02-하","신고","211754","1030050000","375303","-43.6","739262670","39.3","319321","-33.7","770949581","33.6"
"2024-02-중","신고","178786","850425000","345025","-48.2","603490500","40.9","347472","-48.5","821354610","3.5"
"2024-02-상","신고","1297994","6486360500","591352","119.5","1164100000","457.2","550991","135.6","1301492414","398.4"
"2024-01-하","신고","2313254","11648132800","265531","771.2","701670680","1560.1","1570510","47.3","5573300280","109.0"
"2024-01-중","신고","564944","2429710800","2233917","-74.7","5240678470","-53.6","2020577","-72.0","5711935682","-57.5"
"2024-01-상","신고","492815","2007816100","2623518","-81.2","6699811840","-70.0","1321719","-62.7","3810217593","-47.3"
"2023-12-하","신고","343254","1285731350","638313","-46.2","1377397500","-6.7","524940","-34.6","1313318943","-2.1"
"2023-12-중","신고","488900","1731906200","466736","4.7","440046700","293.6","556380","-12.1","784667315","120.7"
"2023-12-상","신고","356576","1203850000","554843","-35.7",,"0.0","634751","-43.8",,"0.0"
"2023-11-하","신고","765001","2507506650","765704","-0.1","1367936500","83.3","825999","-7.4","1775190367","41.3"
