"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2024-09-«œ","Ω”πË√ﬂ","980484","3699126600","1221580","-19.7","3342669800","10.7","1260320","-22.2","3357733511","10.2"
"2024-09-¡ﬂ","Ω”πË√ﬂ","960361","4223811800","1171206","-18.0","2949717750","43.2","1047984","-8.4","2939699161","43.7"
"2024-09-ªÛ","Ω”πË√ﬂ","1051803","3948224100","934670","12.5","2493539400","58.3","1073500","-2.0","2806684877","40.7"
"2024-08-«œ","Ω”πË√ﬂ","1087659","3712447900","951778","14.3","3218749900","15.3","1072322","1.4","2800093113","32.6"
"2024-08-¡ﬂ","Ω”πË√ﬂ","959384","3127904800","730852","31.3","2362213900","32.4","987104","-2.8","2567365663","21.8"
"2024-08-ªÛ","Ω”πË√ﬂ","1069040","2785430750","897666","19.1","2822164500","-1.3","1109676","-3.7","2783021600","0.1"
"2024-07-«œ","Ω”πË√ﬂ","1185045","2467106400","1034608","14.5","2588618600","-4.7","1119809","5.8","2245331492","9.9"
"2024-07-¡ﬂ","Ω”πË√ﬂ","1015032","2236385700","1158762","-12.4","1747557000","28.0","1060151","-4.3","1669092756","34.0"
"2024-07-ªÛ","Ω”πË√ﬂ","1019340","2207916300","1022021","-0.3","1315570800","67.8","1101512","-7.5","1585982468","39.2"
"2024-06-«œ","Ω”πË√ﬂ","843408","1743038700","822173","2.6","1468002200","18.7","752807","12.0","1678087973","3.9"
"2024-06-¡ﬂ","Ω”πË√ﬂ","1138187","1412202100","121366","837.8","1261006800","12.0","194677","484.7","1413102005","-0.1"
"2024-06-ªÛ","Ω”πË√ﬂ","989077","1252856600","1027864","-3.8","1661513400","-24.6","1020914","-3.1","1593153890","-21.4"
"2024-05-«œ","Ω”πË√ﬂ","1330812","1478893600","1038320","28.2","1535868900","-3.7","1147002","16.0","1679219293","-11.9"
"2024-05-¡ﬂ","Ω”πË√ﬂ","987883","1732353400","951522","3.8","1872602500","-7.5","1054905","-6.4","1737596455","-0.3"
"2024-05-ªÛ","Ω”πË√ﬂ","1031435","2109162900","932946","10.6","2139244000","-1.4","1004838","2.6","1996137490","5.7"
"2024-04-«œ","Ω”πË√ﬂ","943883","2019748500","788549","19.7","1400093200","44.3","984027","-4.1","1641283454","23.1"
"2024-04-¡ﬂ","Ω”πË√ﬂ","848632","2414984900","891006","-4.8","1964168300","23.0","906518","-6.4","1790490668","34.9"
"2024-04-ªÛ","Ω”πË√ﬂ","804273","2628437200","709848","13.3","1636987600","60.6","880133","-8.6","1760750103","49.3"
"2024-03-«œ","Ω”πË√ﬂ","864983","2822094090","953929","-9.3","2187825100","29.0","1012767","-14.6","2124228456","32.9"
"2024-03-¡ﬂ","Ω”πË√ﬂ","862659","2846880810","740833","16.4","1371523100","107.6","884357","-2.5","1706842247","66.8"
"2024-03-ªÛ","Ω”πË√ﬂ","747024","1934389580","1019843","-26.8","1531422100","26.3","982166","-23.9","1530042445","26.4"
"2024-02-«œ","Ω”πË√ﬂ","926630","1946597160","1032242","-10.2","1404266000","38.6","941741","-1.6","1551357559","25.5"
"2024-02-¡ﬂ","Ω”πË√ﬂ","637165","1340159140","963242","-33.9","1392453600","-3.8","997392","-36.1","1513070853","-11.4"
"2024-02-ªÛ","Ω”πË√ﬂ","1143646","2420344740","1085768","5.3","1378213000","75.6","1223236","-6.5","1656725092","46.1"
"2024-01-«œ","Ω”πË√ﬂ","1087002","2257523860","509492","113.4","767557900","194.1","1299538","-16.4","1538147439","46.8"
"2024-01-¡ﬂ","Ω”πË√ﬂ","908191","1454328740","1444771","-37.1","1671850700","-13.0","1244110","-27.0","1853941030","-21.6"
"2024-01-ªÛ","Ω”πË√ﬂ","847227","1335959660","942112","-10.1","1166152100","14.6","1199012","-29.3","1696704187","-21.3"
"2023-12-«œ","Ω”πË√ﬂ","1127238","2134114880","1001807","12.5","1801825300","18.4","1029900","9.5","1550587414","37.6"
"2023-12-¡ﬂ","Ω”πË√ﬂ","870582","1357552580","756137","15.1","528136000","157.0","970164","-10.3","735952367","84.5"
"2023-12-ªÛ","Ω”πË√ﬂ","833112","1302089800","935688","-11.0",,"0.0","977602","-14.8",,"0.0"
"2023-11-«œ","Ω”πË√ﬂ","1097011","1554771640","1053416","4.1","911940600","70.5","1043171","5.2","1189975814","30.7"
"2023-11-¡ﬂ","Ω”πË√ﬂ","1037827","1493107700","956660","8.5","1090390800","36.9","1156451","-10.3","1438926875","3.8"
"2023-11-ªÛ","Ω”πË√ﬂ","1101479","1972515000","1133669","-2.8","1520116200","29.8","1140640","-3.4","1640464433","20.2"
"2023-10-«œ","Ω”πË√ﬂ","1115726","2300130800","1108339","0.7","1906934100","20.6","1273906","-12.4","2075915862","10.8"
"2023-10-¡ﬂ","Ω”πË√ﬂ","1180337","2280326100","1141809","3.4","2129867600","7.1","1133019","4.2","1956235603","16.6"
"2023-10-ªÛ","Ω”πË√ﬂ","1067552","2367589900","885766","20.5","2388255300","-0.9","1016952","5.0","2094441973","13.0"
"2023-09-«œ","Ω”πË√ﬂ","1221580","3342669800","1036981","17.8","2649979100","26.1","1133860","7.7","2782221765","20.1"
"2023-09-¡ﬂ","Ω”πË√ﬂ","1171206","2949717750","490372","138.8","2008640600","46.9","1016620","15.2","2718893107","8.5"
"2023-09-ªÛ","Ω”πË√ﬂ","934670","2493539400","723419","29.2","3426679000","-27.2","947331","-1.3","2446925367","1.9"
"2023-08-«œ","Ω”πË√ﬂ","951778","3218749900","945528","0.7","2938375900","9.5","959126","-0.8","2275354252","41.5"
"2023-08-¡ﬂ","Ω”πË√ﬂ","730852","2362213900","1154828","-36.7","2468442400","-4.3","969803","-24.6","2187145919","8.0"
"2023-08-ªÛ","Ω”πË√ﬂ","897666","2822164500","902111","-0.5","2478950300","13.8","1058831","-15.2","2374141008","18.9"
"2023-07-«œ","Ω”πË√ﬂ","1034608","2588618600","880960","17.4","2565887800","0.9","1031432","0.3","1816609016","42.5"
"2023-07-¡ﬂ","Ω”πË√ﬂ","1158762","1747557000","972028","19.2","2313621500","-24.5","962445","20.4","1474960639","18.5"
"2023-07-ªÛ","Ω”πË√ﬂ","1022021","1315570800","825679","23.8","1842147600","-28.6","1005863","1.6","1470533839","-10.5"
"2023-06-«œ","Ω”πË√ﬂ","1136245","1468002200","956501","18.8","1890468200","-22.3","965486","17.7","1520822266","-3.5"
"2023-06-¡ﬂ","Ω”πË√ﬂ","1110101","1261006800","767948","44.6","1627119200","-22.5","925488","19.9","1171915360","7.6"
"2023-06-ªÛ","Ω”πË√ﬂ","1027864","1661513400","834384","23.2","1855771500","-10.5","941397","9.2","1243514650","33.6"
"2023-05-«œ","Ω”πË√ﬂ","1038320","1535868900","997178","4.1","1392847500","10.3","1104726","-6.0","1518911237","1.1"
"2023-05-¡ﬂ","Ω”πË√ﬂ","951522","1872602500","1034817","-8.0","1765720000","6.1","1026049","-7.3","1371147470","36.6"
"2023-05-ªÛ","Ω”πË√ﬂ","932946","2139244000","852189","9.5","2028823300","5.4","971954","-4.0","1644026180","30.1"
"2023-04-«œ","Ω”πË√ﬂ","788549","1400093200","755792","4.3","1854318400","-24.5","924734","-14.7","1555757560","-10.0"
"2023-04-¡ﬂ","Ω”πË√ﬂ","891006","1964168300","818225","8.9","2000051000","-1.8","835741","6.6","1553238160","26.5"
"2023-04-ªÛ","Ω”πË√ﬂ","709848","1636987600","698076","1.7","1890237400","-13.4","864929","-17.9","1402932185","16.7"
"2023-03-«œ","Ω”πË√ﬂ","953929","2187825100","901426","5.8","2453290500","-10.8","997778","-4.4","1862626332","17.5"
"2023-03-¡ﬂ","Ω”πË√ﬂ","740833","1371523100","579884","27.8","1613937500","-15.0","885445","-16.3","1459635813","-6.0"
"2023-03-ªÛ","Ω”πË√ﬂ","1019843","1531422100","756734","34.8","1955264400","-21.7","949113","7.5","1262180845","21.3"
"2023-02-«œ","Ω”πË√ﬂ","900390","1223029300","699642","28.7","1622089300","-24.6","805589","11.8","1227464296","-0.4"
"2023-02-¡ﬂ","Ω”πË√ﬂ","963242","1392453600","749294","28.6","1489456500","-6.5","1007975","-4.4","1454641429","-4.3"
"2023-02-ªÛ","Ω”πË√ﬂ","1085768","1378213000","709703","53.0","1375028700","0.2","1194856","-9.1","1886252558","-26.9"
"2023-01-«œ","Ω”πË√ﬂ","509492","767557900","1235736","-58.8","2591614900","-70.4","1304757","-61.0","1565680355","-51.0"
"2023-01-¡ﬂ","Ω”πË√ﬂ","1444771","1671850700","937511","54.1","1858648100","-10.1","1164962","24.0","1631936316","2.4"
"2023-01-ªÛ","Ω”πË√ﬂ","942112","1166152100","797324","18.2","1354648300","-13.9","1161285","-18.9","1554433733","-25.0"
"2022-12-«œ","Ω”πË√ﬂ","1151107","2002762000","971741","18.5","1717340100","16.6","1200977","-4.2","1623808730","23.3"
"2022-12-¡ﬂ","Ω”πË√ﬂ","756137","888821500","750370","0.8","1123156200","-20.9","957815","-21.1","1236002522","-28.1"
"2022-12-ªÛ","Ω”πË√ﬂ","935688","991947300","846009","10.6","1460300000","-32.1","974083","-3.9","1112904881","-10.9"
"2022-11-«œ","Ω”πË√ﬂ","1053416","911940600","801430","31.4","1271298400","-28.3","1049260","0.4","1238906392","-26.4"
"2022-11-¡ﬂ","Ω”πË√ﬂ","956660","1090390800","984612","-2.8","1904100000","-42.7","1100324","-13.1","1356588567","-19.6"
"2022-11-ªÛ","Ω”πË√ﬂ","1133669","1520116200","976168","16.1","1597317100","-4.8","1144400","-0.9","1532619650","-0.8"
"2022-10-«œ","Ω”πË√ﬂ","1108339","1906934100","1098140","0.9","1903181900","0.2","1216132","-8.9","1782791984","7.0"
"2022-10-¡ﬂ","Ω”πË√ﬂ","1141809","2129867600","1086461","5.1","1557633300","36.7","1114939","2.4","1723493553","23.6"
"2022-10-ªÛ","Ω”πË√ﬂ","885766","2388255300","896964","-1.2","1152543600","107.2","1002443","-11.6","1978458908","20.7"
"2022-09-«œ","Ω”πË√ﬂ","1036981","2649979100","919951","12.7","1427486300","85.6","1160169","-10.6","2587450010","2.4"
"2022-09-¡ﬂ","Ω”πË√ﬂ","490372","2008640600","1220450","-59.8","2981696600","-32.6","1084312","-54.8","2484936273","-19.2"
"2022-09-ªÛ","Ω”πË√ﬂ","723419","3426679000","998976","-27.6","2058337000","66.5","861619","-16.0","2150749859","59.3"
"2022-08-«œ","Ω”πË√ﬂ","945528","2938375900","893742","5.8","1909651900","53.9","827867","14.2","2070450186","41.9"
"2022-08-¡ﬂ","Ω”πË√ﬂ","1154828","2468442400","830867","39.0","1867983400","32.1","811904","42.2","1881297163","31.2"
"2022-08-ªÛ","Ω”πË√ﬂ","902111","2478950300","656456","37.4","1808692600","37.1","925232","-2.5","2052988197","20.7"
"2022-07-«œ","Ω”πË√ﬂ","880960","2565887800","970338","-9.2","1435432500","78.8","962349","-8.5","1710499335","50.0"
"2022-07-¡ﬂ","Ω”πË√ﬂ","972028","2313621500","780058","24.6","976609700","136.9","874144","11.2","1395712316","65.8"
"2022-07-ªÛ","Ω”πË√ﬂ","825679","1842147600","1043343","-20.9","1301689000","41.5","973803","-15.2","1316472447","39.9"
"2022-06-«œ","Ω”πË√ﬂ","956501","1890468200","983864","-2.8","1441145400","31.2","986566","-3.0","1290296190","46.5"
"2022-06-¡ﬂ","Ω”πË√ﬂ","767948","1627119200","786671","-2.4","981243000","65.8","950407","-19.2","1099171039","48.0"
"2022-06-ªÛ","Ω”πË√ﬂ","834384","1855771500","964347","-13.5","1176097100","57.8","973250","-14.3","1121228697","65.5"
"2022-05-«œ","Ω”πË√ﬂ","997178","1392847500","912605","9.3","1236253200","12.7","1100194","-9.4","1278606623","8.9"
"2022-05-¡ﬂ","Ω”πË√ﬂ","1034817","1765720000","910820","13.6","1348863200","30.9","1023168","1.1","1033351597","70.9"
"2022-05-ªÛ","Ω”πË√ﬂ","852189","2028823300","817074","4.3","1327352800","52.8","975809","-12.7","1169570041","73.5"
"2022-04-«œ","Ω”πË√ﬂ","755792","1854318400","938049","-19.4","903266800","105.3","1002005","-24.6","948956942","95.4"
"2022-04-¡ﬂ","Ω”πË√ﬂ","818225","2000051000","723052","13.2",,"0.0","846726","-3.4",,"0.0"
"2022-04-ªÛ","Ω”πË√ﬂ","698076","1890237400","813043","-14.1",,"0.0","874767","-20.2",,"0.0"
"2022-03-«œ","Ω”πË√ﬂ","901426","2453290500","878846","2.6","1662107300","47.6","952815","-5.4","1785389163","37.4"
