"거래일자","품목명","반입량(KG)","품목코드","전월반입량(KG)","전월반입량증감률(%)","전년반입량(KG)","전년반입량증감률(%)","평년반입량(KG)","평년반입량증감률(%)"
,"총계","245617000",,"198971000","-19.0","229782000","-6.4","301117030","22.6"
,"소계(사과)","245617000","060100","198971000","-19.0","229782000","-6.4","301117030","22.6"
"20241023","사과","122000","060100","104000","-14.8","96000","-21.3","126500","3.7"
"20241022","사과","98000","060100","null","0.0","null","0.0","145500","48.5"
"20241021","사과","154000","060100","33000","-78.6","36000","-76.6","158800","3.1"
"20241019","사과","29000","060100","null","0.0","118000","306.9","166400","473.8"
"20241018","사과","140000","060100","null","0.0","142000","1.4","195750","39.8"
"20241017","사과","136000","060100","null","0.0","111000","-18.4","154250","13.4"
"20241016","사과","138000","060100","8000","-94.2","159000","15.2","161750","17.2"
"20241015","사과","113000","060100","null","0.0","null","0.0","134250","18.8"
"20241014","사과","173000","060100","51000","-70.5","39000","-77.5","151400","-12.5"
"20241012","사과","47000","060100","228000","385.1","84000","78.7","158600","237.4"
"20241011","사과","130000","060100","320000","146.2","129000","-0.8","152750","17.5"
"20241010","사과","109000","060100","339000","211.0","111000","1.8","116250","6.7"
"20241009","사과","101000","060100","498000","393.1","141000","39.6","113500","12.4"
"20241008","사과","105000","060100","null","0.0","null","0.0","122500","16.7"
"20241007","사과","145000","060100","50000","-65.5","55000","-62.1","127000","-12.4"
"20241005","사과","52000","060100","249000","378.8","68000","30.8","97200","86.9"
"20241004","사과","99000","060100","266000","168.7","50000","-49.5","117000","18.2"
"20241003","사과","81000","060100","244000","201.2","29000","-64.2","94333","16.5"
"20241002","사과","97000","060100","280000","188.7","14000","-85.6","83333","-14.1"
"20241001","사과","142000","060100","null","0.0","null","0.0","150667","6.1"
"20240930","사과","175000","060100","167000","-4.6","null","0.0","131250","-25.0"
"20240928","사과","70000","060100","115000","64.3","7000","-90.0","137000","95.7"
"20240927","사과","114000","060100","126000","10.5","53000","-53.5","139750","22.6"
"20240926","사과","172000","060100","160000","-7.0","82000","-52.3","156750","-8.9"
"20240925","사과","150000","060100","null","0.0","223000","48.7","201000","34.0"
"20240924","사과","80000","060100","52000","-35.0","null","0.0","160750","100.9"
"20240923","사과","104000","060100","94000","-9.6","113000","8.7","158500","52.4"
"20240921","사과","33000","060100","133000","303.0","196000","493.9","260667","689.9"
"20240920","사과","75000","060100","104000","38.7","233000","210.7","202667","170.2"
"20240916","사과","8000","060100","87000","987.5","151000","1787.5","182600","2182.5"
"20240914","사과","51000","060100","113000","121.6","157000","207.8","189250","271.1"
"20240913","사과","200000","060100","81000","-59.5","142000","-29.0","179667","-10.2"
"20240912","사과","228000","060100","174000","-23.7","162000","-28.9","119000","-47.8"
"20240911","사과","320000","060100","null","0.0","171000","-46.6","182250","-43.0"
"20240910","사과","339000","060100","24000","-92.9","null","0.0","279667","-17.5"
"20240909","사과","498000","060100","55000","-89.0","95000","-80.9","253800","-49.0"
"20240907","사과","50000","060100","59000","18.0","175000","250.0","364400","628.8"
"20240906","사과","343000","060100","41000","-88.0","171000","-50.1","375500","9.5"
"20240905","사과","249000","060100","83000","-66.7","174000","-30.1","384000","54.2"
"20240904","사과","266000","060100","null","0.0","225000","-15.4","324250","21.9"
"20240903","사과","244000","060100","null","0.0","null","0.0","364500","49.4"
"20240902","사과","280000","060100","50000","-82.1","71000","-74.6","289600","3.4"
"20240831","사과","131000","060100","66000","-49.6","85000","-35.1","259000","97.7"
"20240830","사과","167000","060100","67000","-59.9","96000","-42.5","271500","62.6"
"20240829","사과","144000","060100","102000","-29.2","116000","-19.4","265750","84.5"
"20240828","사과","115000","060100","null","0.0","234000","103.5","215500","87.4"
"20240827","사과","126000","060100","12000","-90.5","null","0.0","191500","52.0"
"20240826","사과","160000","060100","64000","-60.0","64000","-60.0","175200","9.5"
"20240824","사과","52000","060100","62000","19.2","102000","96.2","173400","233.5"
"20240823","사과","94000","060100","48000","-48.9","105000","11.7","172750","83.8"
"20240822","사과","88000","060100","91000","3.4","111000","26.1","159750","81.5"
"20240821","사과","133000","060100","null","0.0","135000","1.5","133250","0.2"
"20240820","사과","104000","060100","8000","-92.3","null","0.0","116000","11.5"
"20240819","사과","140000","060100","49000","-65.0","80000","-42.9","111200","-20.6"
"20240817","사과","53000","060100","47000","-11.3","77000","45.3","123400","132.8"
"20240816","사과","87000","060100","71000","-18.4","84000","-3.4","127250","46.3"
"20240815","사과","113000","060100","65000","-42.5","93000","-17.7","115000","1.8"
"20240814","사과","113000","060100","null","0.0","147000","30.1","98750","-12.6"
"20240813","사과","81000","060100","12000","-85.2","null","0.0","94750","17.0"
"20240812","사과","174000","060100","41000","-76.4","42000","-75.9","79200","-54.5"
"20240810","사과","24000","060100","31000","29.2","101000","320.8","82000","241.7"
"20240809","사과","55000","060100","29000","-47.3","83000","50.9","100750","83.2"
"20240808","사과","50000","060100","50000","0.0","39000","-22.0","83500","67.0"
"20240807","사과","59000","060100","null","0.0","82000","39.0","82333","39.5"
"20240806","사과","41000","060100","5000","-87.8","null","0.0","82333","100.8"
"20240805","사과","83000","060100","32000","-61.4","null","0.0","102250","23.2"
"20240802","사과","50000","060100","28000","-44.0","62000","24.0","91750","83.5"
"20240801","사과","78000","060100","42000","-46.2","51000","-34.6","91667","17.5"
"20240731","사과","66000","060100","null","0.0","117000","77.3","75250","14.0"
"20240730","사과","67000","060100","null","0.0","null","0.0","80750","20.5"
"20240729","사과","102000","060100","4000","-96.1","29000","-71.6","79200","-22.4"
"20240727","사과","12000","060100","40000","233.3","71000","491.7","76200","535.0"
"20240726","사과","64000","060100","34000","-46.9","74000","15.6","97750","52.7"
"20240725","사과","70000","060100","59000","-15.7","61000","-12.9","74250","6.1"
"20240724","사과","62000","060100","52000","-16.1","159000","156.5","85000","37.1"
"20240723","사과","48000","060100","null","0.0","null","0.0","63250","31.8"
"20240722","사과","91000","060100","4000","-95.6","36000","-60.4","73000","-19.8"
"20240720","사과","8000","060100","51000","537.5","62000","675.0","67200","740.0"
"20240719","사과","49000","060100","50000","2.0","66000","34.7","80500","64.3"
"20240718","사과","52000","060100","45000","-13.5","47000","-9.6","49000","-5.8"
"20240717","사과","47000","060100","64000","36.2","81000","72.3","54750","16.5"
"20240716","사과","71000","060100","null","0.0","null","0.0","50250","-29.2"
"20240715","사과","65000","060100","2000","-96.9","13000","-80.0","64600","-0.6"
"20240713","사과","12000","060100","64000","433.3","54000","350.0","51200","326.7"
"20240712","사과","41000","060100","41000","0.0","47000","14.6","64500","57.3"
"20240711","사과","38000","060100","68000","78.9","35000","-7.9","40500","6.6"
"20240710","사과","31000","060100","66000","112.9","78000","151.6","53750","73.4"
"20240709","사과","29000","060100","null","0.0","null","0.0","46750","61.2"
"20240708","사과","50000","060100","4000","-92.0","12000","-76.0","59600","19.2"
"20240706","사과","5000","060100","54000","980.0","45000","800.0","49400","888.0"
"20240705","사과","32000","060100","45000","40.6","39000","21.9","65750","105.5"
"20240704","사과","30000","060100","42000","40.0","33000","10.0","44250","47.5"
