"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","홍로","782560","2414934500","506638","54.5","4201662500","-42.5","1051375","-25.6","3315624288","-27.2"
"2024-09-중","홍로","814328","3826848000","1386128","-41.3","9862754000","-61.2","1593329","-48.9","6478414475","-40.9"
"2024-09-상","홍로","2381856","14918139000","1084733","119.6","6187496500","141.1","2716496","-12.3","9733862845","53.3"
"2024-08-하","홍로","1049460","6044713000","972969","7.9","6077043000","-0.5","1587651","-33.9","6019826433","0.4"
"2024-08-중","홍로","448955","2350495000","408065","10.0","2775586000","-15.3","416165","7.9","2143494789","9.7"
"2024-08-상","홍로","30510","178504000","64080","-52.4","394232500","-54.7","34916","-12.6","188273814","-5.2"
"2024-07-하","홍로","440","1342000","870","-49.4","4699000","-71.4","1409","-68.8","6441550","-79.2"
"2024-07-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-07-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-06-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-06-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-06-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-05-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-05-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-05-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-04-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-04-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-04-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-03-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-03-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-03-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-02-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-02-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-02-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-01-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-01-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-01-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-12-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-12-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-12-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-11-하","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-11-중","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-11-상","홍로",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-10-하","홍로","580","1859000","1120","-48.2","1689000","10.1","9224","-93.7","30171134","-93.8"
"2023-10-중","홍로","78690","433456000","60383","30.3","146993000","194.9","93244","-15.6","208986868","107.4"
"2023-10-상","홍로","127295","885656500","323592","-60.7","814636900","8.7","386059","-67.0","690115095","28.3"
"2023-09-하","홍로","506638","4201662500","889930","-43.1","2018525100","108.2","1042086","-51.4","2234324963","88.1"
"2023-09-중","홍로","1386128","9862754000","823904","68.2","1550760300","536.0","1918112","-27.7","6285858629","56.9"
"2023-09-상","홍로","1084733","6187496500","2515429","-56.9","9551024495","-35.2","2863857","-62.1","9533784904","-35.1"
