"거래일자","품목명","반입량(KG)","품목코드","전월반입량(KG)","전월반입량증감률(%)","전년반입량(KG)","전년반입량증감률(%)","평년반입량(KG)","평년반입량증감률(%)"
,"총계","170554000",,"141715000","-16.9","140747000","-17.5","176446622","3.5"
,"소계(상추)","170554000","100500","141715000","-16.9","140747000","-17.5","176446622","3.5"
"20241023","상추","62000","100500","70000","12.9","98000","58.1","87250","40.7"
"20241022","상추","76000","100500","null","0.0","null","0.0","83500","9.9"
"20241021","상추","91000","100500","65000","-28.6","97000","6.6","85800","-5.7"
"20241019","상추","73000","100500","null","0.0","82000","12.3","80800","10.7"
"20241018","상추","80000","100500","null","0.0","84000","5.0","81750","2.2"
"20241017","상추","72000","100500","null","0.0","89000","23.6","88000","22.2"
"20241016","상추","65000","100500","63000","-3.1","104000","60.0","87750","35.0"
"20241015","상추","61000","100500","null","0.0","null","0.0","83500","36.9"
"20241014","상추","80000","100500","74000","-7.5","94000","17.5","85000","6.3"
"20241012","상추","67000","100500","67000","0.0","80000","19.4","80800","20.6"
"20241011","상추","58000","100500","68000","17.2","77000","32.8","84000","44.8"
"20241010","상추","58000","100500","68000","17.2","81000","39.7","89250","53.9"
"20241009","상추","58000","100500","76000","31.0","98000","69.0","92750","59.9"
"20241008","상추","53000","100500","null","0.0","null","0.0","83000","56.6"
"20241007","상추","55000","100500","40000","-27.3","84000","52.7","85200","54.9"
"20241005","상추","48000","100500","60000","25.0","80000","66.7","75200","56.7"
"20241004","상추","48000","100500","56000","16.7","82000","70.8","80000","66.7"
"20241003","상추","46000","100500","53000","15.2","73000","58.7","87667","90.6"
"20241002","상추","47000","100500","65000","38.3","72000","53.2","81667","73.8"
"20241001","상추","47000","100500","null","0.0","null","0.0","85667","82.3"
"20240930","상추","51000","100500","60000","17.6","null","0.0","89500","75.5"
"20240928","상추","53000","100500","53000","0.0","69000","30.2","91400","72.5"
"20240927","상추","46000","100500","54000","17.4","90000","95.7","89750","95.1"
"20240926","상추","45000","100500","69000","53.3","78000","73.3","83000","84.4"
"20240925","상추","41000","100500","null","0.0","91000","122.0","88500","115.9"
"20240924","상추","44000","100500","58000","31.8","null","0.0","95500","117.0"
"20240923","상추","70000","100500","64000","-8.6","74000","5.7","80500","15.0"
"20240921","상추","65000","100500","53000","-18.5","72000","10.8","83000","27.7"
"20240920","상추","78000","100500","59000","-24.4","73000","-6.4","73333","-6.0"
"20240916","상추","63000","100500","55000","-12.7","91000","44.4","77600","23.2"
"20240914","상추","74000","100500","54000","-27.0","78000","5.4","73000","-1.4"
"20240913","상추","69000","100500","58000","-15.9","76000","10.1","77000","11.6"
"20240912","상추","67000","100500","64000","-4.5","71000","6.0","70000","4.5"
"20240911","상추","68000","100500","null","0.0","90000","32.4","71250","4.8"
"20240910","상추","68000","100500","58000","-14.7","null","0.0","65333","-3.9"
"20240909","상추","76000","100500","53000","-30.3","79000","3.9","68800","-9.5"
"20240907","상추","40000","100500","52000","30.0","65000","62.5","70000","75.0"
"20240906","상추","64000","100500","61000","-4.7","64000","0.0","68500","7.0"
"20240905","상추","60000","100500","74000","23.3","62000","3.3","73500","22.5"
"20240904","상추","56000","100500","null","0.0","76000","35.7","67250","20.1"
"20240903","상추","53000","100500","null","0.0","null","0.0","65500","23.6"
"20240902","상추","65000","100500","69000","6.2","37000","-43.1","59000","-9.2"
"20240831","상추","56000","100500","53000","-5.4","65000","16.1","69800","24.6"
"20240830","상추","60000","100500","55000","-8.3","64000","6.7","68750","14.6"
"20240829","상추","54000","100500","65000","20.4","62000","14.8","71750","32.9"
"20240828","상추","53000","100500","null","0.0","75000","41.5","69250","30.7"
"20240827","상추","54000","100500","52000","-3.7","null","0.0","63750","18.1"
"20240826","상추","69000","100500","46000","-33.3","66000","-4.3","67400","-2.3"
"20240824","상추","58000","100500","53000","-8.6","59000","1.7","66000","13.8"
"20240823","상추","64000","100500","54000","-15.6","60000","-6.3","66000","3.1"
"20240822","상추","48000","100500","60000","25.0","61000","27.1","62250","29.7"
"20240821","상추","53000","100500","null","0.0","65000","22.6","65000","22.6"
"20240820","상추","59000","100500","52000","-11.9","null","0.0","58250","-1.3"
"20240819","상추","66000","100500","49000","-25.8","63000","-4.5","59200","-10.3"
"20240817","상추","56000","100500","48000","-14.3","54000","-3.6","56200","0.4"
"20240816","상추","55000","100500","44000","-20.0","56000","1.8","59250","7.7"
"20240815","상추","54000","100500","62000","14.8","58000","7.4","58250","7.9"
"20240814","상추","54000","100500","null","0.0","74000","37.0","63250","17.1"
"20240813","상추","58000","100500","64000","10.3","null","0.0","59750","3.0"
"20240812","상추","64000","100500","43000","-32.8","59000","-7.8","60000","-6.3"
"20240810","상추","58000","100500","65000","12.1","57000","-1.7","64200","10.7"
"20240809","상추","53000","100500","71000","34.0","57000","7.5","66000","24.5"
"20240808","상추","49000","100500","85000","73.5","60000","22.4","67500","37.8"
"20240807","상추","52000","100500","null","0.0","73000","40.4","66333","27.6"
"20240806","상추","61000","100500","78000","27.9","null","0.0","65333","7.1"
"20240805","상추","74000","100500","52000","-29.7","null","0.0","73750","-0.3"
"20240802","상추","69000","100500","86000","24.6","56000","-18.8","66500","-3.6"
"20240801","상추","60000","100500","106000","76.7","52000","-13.3","60000","0.0"
"20240731","상추","53000","100500","null","0.0","52000","-1.9","67500","27.4"
"20240730","상추","55000","100500","null","0.0","null","0.0","69500","26.4"
"20240729","상추","65000","100500","97000","49.2","54000","-16.9","65200","0.3"
"20240727","상추","52000","100500","81000","55.8","37000","-28.8","62800","20.8"
"20240726","상추","46000","100500","83000","80.4","35000","-23.9","64000","39.1"
"20240725","상추","47000","100500","85000","80.9","38000","-19.1","66000","40.4"
"20240724","상추","53000","100500","93000","75.5","45000","-15.1","69250","30.7"
"20240723","상추","54000","100500","null","0.0","null","0.0","67750","25.5"
"20240722","상추","60000","100500","94000","56.7","35000","-41.7","61000","1.7"
"20240720","상추","52000","100500","88000","69.2","41000","-21.2","67000","28.8"
"20240719","상추","49000","100500","86000","75.5","46000","-6.1","65000","32.7"
"20240718","상추","50000","100500","79000","58.0","43000","-14.0","64750","29.5"
"20240717","상추","48000","100500","90000","87.5","45000","-6.3","68250","42.2"
"20240716","상추","44000","100500","null","0.0","null","0.0","68000","54.5"
"20240715","상추","62000","100500","86000","38.7","59000","-4.8","69200","11.6"
"20240713","상추","64000","100500","83000","29.7","66000","3.1","72400","13.1"
"20240712","상추","43000","100500","94000","118.6","68000","58.1","72750","69.2"
"20240711","상추","42000","100500","97000","131.0","69000","64.3","72250","72.0"
"20240710","상추","65000","100500","108000","66.2","79000","21.5","76250","17.3"
"20240709","상추","71000","100500","null","0.0","null","0.0","65750","-7.4"
"20240708","상추","85000","100500","90000","5.9","70000","-17.6","69200","-18.6"
"20240706","상추","78000","100500","88000","12.8","55000","-29.5","67800","-13.1"
"20240705","상추","52000","100500","98000","88.5","62000","19.2","74750","43.8"
"20240704","상추","70000","100500","97000","38.6","69000","-1.4","73500","5.0"
"20240703","상추","77000","100500","116000","50.6","76000","-1.3","78000","1.3"
"20240702","상추","86000","100500","null","0.0","null","0.0","68750","-20.1"
"20240701","상추","106000","100500","90000","-15.1","76000","-28.3","75000","-29.2"
"20240629","상추","97000","100500","99000","2.1","72000","-25.8","85000","-12.4"
"20240628","상추","84000","100500","93000","10.7","69000","-17.9","79500","-5.4"
"20240627","상추","81000","100500","108000","33.3","80000","-1.2","84500","4.3"
"20240626","상추","83000","100500","null","0.0","113000","36.1","86250","3.9"
"20240625","상추","85000","100500","96000","12.9","null","0.0","74000","-12.9"
"20240624","상추","93000","100500","108000","16.1","96000","3.2","84200","-9.5"
"20240622","상추","94000","100500","110000","17.0","65000","-30.9","84800","-9.8"
"20240621","상추","92000","100500","106000","15.2","82000","-10.9","89000","-3.3"
"20240620","상추","88000","100500","125000","42.0","92000","4.5","87500","-0.6"
"20240619","상추","86000","100500","null","0.0","100000","16.3","84750","-1.5"
"20240618","상추","79000","100500","113000","43.0","null","0.0","85000","7.6"
"20240617","상추","90000","100500","95000","5.6","85000","-5.6","86200","-4.2"
"20240615","상추","86000","100500","98000","14.0","88000","2.3","86400","0.5"
"20240614","상추","82000","100500","111000","35.4","90000","9.8","89000","8.5"
"20240613","상추","83000","100500","126000","51.8","95000","14.5","93000","12.0"
"20240612","상추","94000","100500","null","0.0","104000","10.6","85750","-8.8"
"20240611","상추","97000","100500","112000","15.5","null","0.0","84250","-13.1"
"20240610","상추","108000","100500","113000","4.6","94000","-13.0","93000","-13.9"
"20240608","상추","90000","100500","105000","16.7","80000","-11.1","85000","-5.6"
