"거래일자","품목명","반입량(KG)","품목코드","전월반입량(KG)","전월반입량증감률(%)","전년반입량(KG)","전년반입량증감률(%)","평년반입량(KG)","평년반입량증감률(%)"
,"총계","1537208000",,"1251356000","-18.6","1283223000","-16.5","1518055755","-1.2"
,"소계(양파)","1537208000","120100","1251356000","-18.6","1283223000","-16.5","1518055755","-1.2"
"20241023","양파","583000","120100","759000","30.2","695000","19.2","677000","16.1"
"20241022","양파","749000","120100","null","0.0","null","0.0","572500","-23.6"
"20241021","양파","729000","120100","854000","17.1","600000","-17.7","687200","-5.7"
"20241019","양파","428000","120100","null","0.0","662000","54.7","653800","52.8"
"20241018","양파","646000","120100","null","0.0","626000","-3.1","751000","16.3"
"20241017","양파","519000","120100","null","0.0","813000","56.6","796000","53.4"
"20241016","양파","687000","120100","null","0.0","773000","12.5","769750","12.0"
"20241015","양파","626000","120100","null","0.0","null","0.0","682750","9.1"
"20241014","양파","763000","120100","568000","-25.6","496000","-35.0","736800","-3.4"
"20241012","양파","535000","120100","677000","26.5","706000","32.0","714000","33.5"
"20241011","양파","624000","120100","807000","29.3","756000","21.2","664750","6.5"
"20241010","양파","762000","120100","806000","5.8","702000","-7.9","635000","-16.7"
"20241009","양파","739000","120100","813000","10.0","824000","11.5","766750","3.8"
"20241008","양파","689000","120100","null","0.0","null","0.0","714500","3.7"
"20241007","양파","900000","120100","418000","-53.6","867000","-3.7","764400","-15.1"
"20241005","양파","601000","120100","599000","-0.3","603000","0.3","574000","-4.5"
"20241004","양파","653000","120100","649000","-0.6","621000","-4.9","605500","-7.3"
"20241003","양파","415000","120100","736000","77.3","674000","62.4","636333","53.3"
"20241002","양파","797000","120100","814000","2.1","695000","-12.8","653000","-18.1"
"20241001","양파","718000","120100","null","0.0","null","0.0","626667","-12.7"
"20240930","양파","798000","120100","822000","3.0","null","0.0","702000","-12.0"
"20240928","양파","635000","120100","716000","12.8","0","-100.0","698000","9.9"
"20240927","양파","732000","120100","724000","-1.1","822000","12.3","800250","9.3"
"20240926","양파","858000","120100","613000","-28.6","844000","-1.6","872250","1.7"
"20240925","양파","799000","120100","null","0.0","1005000","25.8","822250","2.9"
