"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2024-09-ÇÏ","±ñ¾çÆÄ","12760","22859000","17330","-26.4","32003900","-28.6","51065","-75.0","63776924","-64.2"
"2024-09-Áß","±ñ¾çÆÄ","7160","12617500","20210","-64.6","38200500","-67.0","43339","-83.5","53862820","-76.6"
"2024-09-»ó","±ñ¾çÆÄ","8950","15885000","26510","-66.2","44862000","-64.6","41521","-78.4","51504960","-69.2"
"2024-08-ÇÏ","±ñ¾çÆÄ","13460","23928500","38545","-65.1","63245000","-62.2","41908","-67.9","53737060","-55.5"
"2024-08-Áß","±ñ¾çÆÄ","13640","23347500","28210","-51.6","48857500","-52.2","45976","-70.3","53631197","-56.5"
"2024-08-»ó","±ñ¾çÆÄ","12320","20363500","32830","-62.5","59558000","-65.8","51088","-75.9","63966946","-68.2"
"2024-07-ÇÏ","±ñ¾çÆÄ","12390","20366000","26580","-53.4","49286500","-58.7","46044","-73.1","50010935","-59.3"
"2024-07-Áß","±ñ¾çÆÄ","8970","15403000","33370","-73.1","58914000","-73.9","41543","-78.4","49622300","-69.0"
"2024-07-»ó","±ñ¾çÆÄ","9830","15306500","29060","-66.2","45306700","-66.2","42753","-77.0","45660348","-66.5"
"2024-06-ÇÏ","±ñ¾çÆÄ","9050","15505000","17570","-48.5","49970000","-69.0","33796","-73.2","56957435","-72.8"
"2024-06-Áß","±ñ¾çÆÄ","9650","17474000","3050","216.4","41424000","-57.8","9053","6.6","59371275","-70.6"
"2024-06-»ó","±ñ¾çÆÄ","9990","18935000","29050","-65.6","52037000","-63.6","50759","-80.3","57794965","-67.2"
"2024-05-ÇÏ","±ñ¾çÆÄ","11910","23948000","24080","-50.5","43494000","-44.9","44610","-73.3","51618058","-53.6"
"2024-05-Áß","±ñ¾çÆÄ","7980","17219000","26450","-69.8","47019000","-63.4","42812","-81.4","53047066","-67.5"
"2024-05-»ó","±ñ¾çÆÄ","10770","24349000","31220","-65.5","56717500","-57.1","39800","-72.9","53133193","-54.2"
"2024-04-ÇÏ","±ñ¾çÆÄ","11660","28952000","35270","-66.9","66445500","-56.4","39716","-70.6","52698897","-45.1"
"2024-04-Áß","±ñ¾çÆÄ","14490","38737000","55410","-73.8","130863500","-70.4","35098","-58.7","52579887","-26.3"
"2024-04-»ó","±ñ¾çÆÄ","14630","36905000","43050","-66.0","94529500","-61.0","34205","-57.2","50882034","-27.5"
"2024-03-ÇÏ","±ñ¾çÆÄ","16270","36242500","50220","-67.6","112680500","-67.8","44280","-63.3","60417277","-40.0"
"2024-03-Áß","±ñ¾çÆÄ","16150","31411000","34790","-53.6","85893500","-63.4","45451","-64.5","63707890","-50.7"
"2024-03-»ó","±ñ¾çÆÄ","13530","24718500","40360","-66.5","99482000","-75.2","45371","-70.2","61154476","-59.6"
"2024-02-ÇÏ","±ñ¾çÆÄ","15450","27805000","40150","-61.5","90892000","-69.4","42022","-63.2","61349322","-54.7"
"2024-02-Áß","±ñ¾çÆÄ","12840","22473000","35420","-63.7","75677000","-70.3","49151","-73.9","75388577","-70.2"
"2024-02-»ó","±ñ¾çÆÄ","17910","31272000","37850","-52.7","79595000","-60.7","43653","-59.0","65729993","-52.4"
"2024-01-ÇÏ","±ñ¾çÆÄ","17230","28202500","28950","-40.5","60749000","-53.6","48965","-64.8","73558965","-61.7"
"2024-01-Áß","±ñ¾çÆÄ","15440","26366000","47300","-67.4","99958500","-73.6","46667","-66.9","74472690","-64.6"
"2024-01-»ó","±ñ¾çÆÄ","18940","30994000","42130","-55.0","87822500","-64.7","49971","-62.1","76055152","-59.2"
"2023-12-ÇÏ","±ñ¾çÆÄ","24290","41195000","50240","-51.7","102424500","-59.8","43018","-43.5","70413543","-41.5"
"2023-12-Áß","±ñ¾çÆÄ","16240","28231000","44870","-63.8","52732000","-46.5","39572","-59.0","36549630","-22.8"
"2023-12-»ó","±ñ¾çÆÄ","14130","24437500","50830","-72.2",,"0.0","43332","-67.4",,"0.0"
"2023-11-ÇÏ","±ñ¾çÆÄ","20280","34459000","45500","-55.4","92749000","-62.8","46044","-56.0","62165904","-44.6"
"2023-11-Áß","±ñ¾çÆÄ","16680","28992000","30410","-45.1","63265000","-54.2","41856","-60.1","62042656","-53.3"
"2023-11-»ó","±ñ¾çÆÄ","16340","29960500","39950","-59.1","81105000","-63.1","43844","-62.7","57264213","-47.7"
"2023-10-ÇÏ","±ñ¾çÆÄ","20300","34449700","42320","-52.0","89124000","-61.3","49023","-58.6","61310723","-43.8"
"2023-10-Áß","±ñ¾çÆÄ","22320","37731000","46230","-51.7","94886700","-60.2","50129","-55.5","65932567","-42.8"
"2023-10-»ó","±ñ¾çÆÄ","21060","36362500","41740","-49.5","82439000","-55.9","51410","-59.0","65957665","-44.9"
"2023-09-ÇÏ","±ñ¾çÆÄ","17330","32003900","33330","-48.0","65720000","-51.3","51770","-66.5","61900651","-48.3"
"2023-09-Áß","±ñ¾çÆÄ","20210","38200500","17230","17.3","35148600","8.7","44586","-54.7","53716300","-28.9"
"2023-09-»ó","±ñ¾çÆÄ","26510","44862000","28640","-7.4","55149500","-18.7","40165","-34.0","46373057","-3.3"
"2023-08-ÇÏ","±ñ¾çÆÄ","38545","63245000","22000","75.2","42044500","50.4","39233","-1.8","47038673","34.5"
"2023-08-Áß","±ñ¾çÆÄ","28210","48857500","21810","29.3","42185000","15.8","44898","-37.2","47581363","2.7"
"2023-08-»ó","±ñ¾çÆÄ","32830","59558000","25560","28.4","50196000","18.7","48122","-31.8","53186981","12.0"
"2023-07-ÇÏ","±ñ¾çÆÄ","26580","49286500","20480","29.8","39882000","23.6","46921","-43.4","44154424","11.6"
"2023-07-Áß","±ñ¾çÆÄ","33370","58914000","23260","43.5","45225000","30.3","39444","-15.4","41621854","41.5"
"2023-07-»ó","±ñ¾çÆÄ","29060","45306700","20710","40.3","35536000","27.5","40136","-27.6","41820410","8.3"
