"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2024-09-하","열무(일반)","738189","1721225650","546987","35.0","923738430","86.3","951930","-22.5","1193932414","44.2"
"2024-09-중","열무(일반)","476378","1341123360","842979","-43.5","1493659390","-10.2","875198","-45.6","1468143897","-8.7"
"2024-09-상","열무(일반)","785256","1897839680","558315","40.6","1708578200","11.1","853536","-8.0","1695252192","12.0"
"2024-08-하","열무(일반)","823957","2359939470","947007","-13.0","2157286280","9.4","1119634","-26.4","2063530611","14.4"
"2024-08-중","열무(일반)","790210","1615255260","890039","-11.2","1456253320","10.9","1020819","-22.6","1892337224","-14.6"
"2024-08-상","열무(일반)","722967","1742763970","1019258","-29.1","1665570960","4.6","1122235","-35.6","1909357670","-8.7"
"2024-07-하","열무(일반)","857619","1756409140","863412","-0.7","1962974770","-10.5","1287535","-33.4","1894490342","-7.3"
"2024-07-중","열무(일반)","770484","1787881860","846473","-9.0","1467146370","21.9","1186287","-35.1","1523576479","17.3"
"2024-07-상","열무(일반)","984282","1632065550","734139","34.1","1492273940","9.4","1120597","-12.2","1724931443","-5.4"
"2024-06-하","열무(일반)","1034584","1407427510","577264","79.2","1697209230","-17.1","812972","27.3","1725564297","-18.4"
"2024-06-중","열무(일반)","1234508","819472520","134691","816.5","1185803510","-30.9","276450","346.6","1486837554","-44.9"
"2024-06-상","열무(일반)","1111405","780282060","1048401","6.0","1351307040","-42.3","1312595","-15.3","1514776435","-48.5"
"2024-05-하","열무(일반)","1389003","1481906300","1182115","17.5","1061815730","39.6","1435317","-3.2","1413596363","4.8"
"2024-05-중","열무(일반)","887090","1627190620","1097347","-19.2","1289735780","26.2","1277843","-30.6","1221391229","33.2"
"2024-05-상","열무(일반)","1126828","1858857570","1018297","10.7","1348135280","37.9","1317133","-14.4","1355563052","37.1"
"2024-04-하","열무(일반)","974742","1467026400","798113","22.1","1076535600","36.3","1285077","-24.1","1257943452","16.6"
"2024-04-중","열무(일반)","1042850","1515973580","990156","5.3","1070161080","41.7","1193131","-12.6","1196022065","26.8"
"2024-04-상","열무(일반)","983850","1433574370","895354","9.9","912078480","57.2","1049950","-6.3","1163254107","23.2"
"2024-03-하","열무(일반)","725342","1256378130","898833","-19.3","1311553950","-4.2","990208","-26.7","1352257320","-7.1"
"2024-03-중","열무(일반)","579164","1229323830","594682","-2.6","886763830","38.6","781622","-25.9","1024354453","20.0"
"2024-03-상","열무(일반)","444610","705720940","512245","-13.2","880017570","-19.8","603742","-26.4","858957930","-17.8"
"2024-02-하","열무(일반)","423309","510041330","409334","3.4","721630800","-29.3","468523","-9.7","574638083","-11.2"
"2024-02-중","열무(일반)","333272","393196600","340975","-2.3","662545860","-40.7","418304","-20.3","554801138","-29.1"
"2024-02-상","열무(일반)","218829","391616900","315780","-30.7","555799980","-29.5","323058","-32.3","523022781","-25.1"
"2024-01-하","열무(일반)","197015","731606700","147664","33.4","323476760","126.2","319837","-38.4","447825455","63.4"
"2024-01-중","열무(일반)","119664","642976840","216374","-44.7","299989050","114.3","267115","-55.2","333694735","92.7"
"2024-01-상","열무(일반)","133204","618597150","178247","-25.3","263423870","134.8","246645","-46.0","316196750","95.6"
"2023-12-하","열무(일반)","144365","577896410","175972","-18.0","222650400","159.6","206306","-30.0","206634278","179.7"
"2023-12-중","열무(일반)","153881","488540690","146728","4.9","86426000","465.3","191326","-19.6","111427670","338.4"
"2023-12-상","열무(일반)","130352","397418750","195330","-33.3",,"0.0","211769","-38.4",,"0.0"
"2023-11-하","열무(일반)","180086","372922460","222015","-18.9","114869650","224.6","247669","-27.3","162921151","128.9"
"2023-11-중","열무(일반)","200398","339392700","258862","-22.6","161988450","109.5","372303","-46.2","276694665","22.7"
"2023-11-상","열무(일반)","468479","419332300","480412","-2.5","378836610","10.7","637003","-26.5","524050302","-20.0"
"2023-10-하","열무(일반)","725324","600065930","658180","10.2","735123420","-18.4","903498","-19.7","910896808","-34.1"
"2023-10-중","열무(일반)","961272","710910560","663174","45.0","811130210","-12.4","923846","4.1","926935780","-23.3"
"2023-10-상","열무(일반)","747608","615997110","709177","5.4","739507630","-16.7","910148","-17.9","817502226","-24.6"
"2023-09-하","열무(일반)","546987","923738430","814767","-32.9","1046166180","-11.7","1002204","-45.4","1074517053","-14.0"
"2023-09-중","열무(일반)","842979","1493659390","465661","81.0","591241860","152.6","937687","-10.1","1399425327","6.7"
"2023-09-상","열무(일반)","558315","1708578200","423683","31.8","873294810","95.6","1026091","-45.6","1695252192","0.8"
"2023-08-하","열무(일반)","947007","2157286280","753995","25.6","1900259270","13.5","1289408","-26.6","2073899995","4.0"
"2023-08-중","열무(일반)","890039","1456253320","657729","35.3","1943015090","-25.1","1060725","-16.1","1997206768","-27.1"
"2023-08-상","열무(일반)","1019258","1665570960","894973","13.9","1378063120","20.9","1133555","-10.1","1950061317","-14.6"
"2023-07-하","열무(일반)","863412","1962974770","1114119","-22.5","1684118450","16.6","1385876","-37.7","1877312438","4.6"
"2023-07-중","열무(일반)","846473","1467146370","852206","-0.7","1652585085","-11.2","1310211","-35.4","1644817450","-10.8"
"2023-07-상","열무(일반)","734139","1492273940","533638","37.6","1635593660","-8.8","1263137","-41.9","1590494290","-6.2"
"2023-06-하","열무(일반)","917894","1697209230","927563","-1.0","2016649190","-15.8","1308834","-29.9","1531267530","10.8"
"2023-06-중","열무(일반)","964430","1185803510","1003483","-3.9","1170205010","1.3","1349851","-28.6","1350499680","-12.2"
