"일자","원/달러","달러_등락률(%)","원/위안","위안_등락률(%)","원/엔","엔_등락률(%)","달러/유로","유로_등락률(%)"
"2024-10-22","1370.40","-0.05","192.51","0.10","909.08","-0.85","1482.16000","-0.54"
"2024-10-21","1371.10","0.34","192.32","0.35","916.91","0.80","1490.18000","0.71"
"2024-10-18","1366.50","0.21","191.64","0.22","909.64","-0.18","1479.71000","-0.06"
"2024-10-17","1363.70","0.24","191.22","-0.06","911.29","0.01","1480.64000","-0.03"
"2024-10-16","1360.40","0.41","191.34","-0.09","911.22","0.73","1481.14000","0.21"
"2024-10-15","1354.90","0.47","191.51","0.64","904.62","0.15","1477.99000","0.29"
"2024-10-14","1348.60","-0.06","190.30","-0.25","903.31","-0.49","1473.75000","-0.12"
"2024-10-11","1349.40","0.12","190.78","-0.07","907.74","0.52","1475.50000","0.06"
"2024-10-10","1347.80","0.10","190.91","0.45","903.08","-0.79","1474.56000","-0.24"
"2024-10-08","1346.50","0.99","190.05","0.59","910.26","1.74","1478.12000","1.05"
"2024-10-07","1333.30","1.00","188.93","0.41","894.65","-0.54","1462.70000","0.42"
"2024-10-04","1320.10","1.01","188.16","0.70","899.47","-1.19","1456.53000","0.72"
"2024-10-02","1306.90","-0.96","186.86","-1.00","910.26","-1.54","1446.15000","-1.89"
"2024-09-30","1319.60","-0.76","188.74","-0.36","924.51","0.79","1474.06000","-0.80"
"2024-09-27","1329.70","0.10","189.42","-0.03","917.29","-0.08","1486.01000","0.49"
"2024-09-26","1328.40","-0.44","189.48","0.08","918.01","-1.56","1478.71000","-0.94"
"2024-09-25","1334.30","-0.09","189.32","-0.15","932.52","0.25","1492.75000","0.60"
"2024-09-24","1335.50","0.42","189.60","0.55","930.24","0.68","1483.81000","-0.03"
"2024-09-23","1329.90","-0.14","188.57","0.25","923.93","-0.96","1484.23000","-0.13"
"2024-09-20","1331.80","0.06","188.10","0.50","932.93","-0.16","1486.22000","0.45"
"2024-09-19","1331.00","-0.64","187.16","-0.43","934.46","-1.19","1479.61000","-0.26"
"2024-09-13","1339.60","-0.05","187.96","-0.15","945.74","0.55","1483.54000","0.51"
"2024-09-12","1340.30","-0.30","188.25","-0.23","940.59","-0.35","1476.01000","-0.37"
"2024-09-11","1344.30","0.36","188.69","0.10","943.87","0.86","1481.49000","0.20"
"2024-09-10","1339.50","0.68","188.51","0.41","935.83","0.06","1478.47000","0.22"
"2024-09-09","1330.40","-0.40","187.74","-0.16","935.29","0.37","1475.21000","-0.60"
"2024-09-06","1335.80","-0.46","188.05","-0.39","931.81","-0.26","1484.14000","-0.22"
"2024-09-05","1342.00","0.07","188.78","0.25","934.22","1.17","1487.41000","0.41"
"2024-09-04","1341.00","0.16","188.31","-0.12","923.43","1.35","1481.27000","-0.01"
"2024-09-03","1338.80","0.30","188.54","0.10","911.12","0.05","1481.45000","0.48"
"2024-09-02","1334.80","-0.04","188.35","0.42","910.69","-1.20","1474.35000","-0.35"
"2024-08-30","1335.30","0.04","187.56","0.09","921.75","-0.37","1479.58000","-0.35"
"2024-08-29","1334.70","0.32","187.39","0.35","925.17","0.00","1484.79000","-0.21"
"2024-08-28","1330.40","0.49","186.73","0.39","925.21","0.81","1487.85000","0.65"
"2024-08-27","1323.90","-1.21","186.00","-0.85","917.75","-1.64","1478.27000","-1.44"
"2024-08-26","1340.10","0.31","187.60","0.00","933.05","2.05","1499.91000","1.00"
"2024-08-23","1335.90","0.26","187.60","0.37","914.34","-0.58","1484.99000","-0.10"
"2024-08-22","1332.40","0.03","186.91","0.18","919.63","0.28","1486.49000","0.29"
"2024-08-21","1332.00","-0.43","186.57","-0.24","917.07","0.57","1482.25000","-0.05"
"2024-08-20","1337.80","-1.64","187.01","-1.27","911.84","-0.88","1483.02000","-1.10"
"2024-08-19","1360.10","-0.10","189.42","-0.47","919.89","0.82","1499.44000","0.38"
"2024-08-16","1361.40","-0.65","190.32","-0.25","912.44","-2.24","1493.80000","-0.88"
"2024-08-14","1370.30","0.19","190.80","0.22","933.38","0.46","1506.99000","0.79"
"2024-08-13","1367.70","-0.12","190.39","-0.42","929.08","-0.22","1495.24000","0.04"
"2024-08-12","1369.40","-0.60","191.20","-0.39","931.09","-0.35","1494.63000","-0.64"
"2024-08-09","1377.70","0.09","191.95","0.20","934.32","-0.62","1504.24000","-0.01"
"2024-08-08","1376.40","0.31","191.57","-0.24","940.13","-0.99","1504.34000","0.32"
"2024-08-07","1372.20","0.85","192.03","0.69","949.49","1.31","1499.61000","0.60"
"2024-08-06","1360.60","-0.89","190.72","0.50","937.18","-0.16","1490.67000","-0.45"
"2024-08-05","1372.80","0.51","189.78","0.67","938.67","2.51","1497.38000","1.60"
"2024-08-02","1365.90","-1.03","188.51","-1.05","915.70","-0.32","1473.74000","-1.34"
"2024-08-01","1380.10","-0.33","190.51","0.06","918.66","1.46","1493.75000","-0.25"
"2024-07-31","1384.60","0.19","190.39","0.12","905.44","0.78","1497.51000","0.14"
"2024-07-30","1382.00","-0.25","190.17","-0.49","898.45","-0.07","1495.39000","-0.56"
"2024-07-29","1385.40","0.00","191.10","0.13","899.11","-0.31","1503.78000","0.06"
"2024-07-26","1385.40","0.02","190.85","0.42","901.92","0.07","1502.95000","0.10"
"2024-07-25","1385.10","0.00","190.06","0.11","901.32","1.33","1501.45000","-0.09"
"2024-07-24","1385.10","-0.25","189.86","-0.34","889.45","0.61","1502.83000","-0.62"
"2024-07-23","1388.60","0.14","190.50","0.01","884.09","0.26","1512.25000","0.07"
"2024-07-22","1386.60","0.49","190.48","0.33","881.81","0.50","1511.26000","0.48"
"2024-07-19","1379.90","-0.12","189.86","0.14","877.44","-0.99","1504.09000","-0.49"
"2024-07-18","1381.50","-0.32","189.60","-0.43","886.17","1.22","1511.50000","0.04"
"2024-07-17","1386.00","0.30","190.41","0.23","875.47","0.16","1510.95000","0.34"
"2024-07-16","1381.90","0.41","189.97","0.37","874.09","0.55","1505.86000","0.50"
"2024-07-15","1376.30","-0.28","189.27","0.03","869.34","0.39","1498.31000","-0.10"
"2024-07-12","1380.10","-0.40","189.22","-0.45","865.95","0.98","1499.75000","-0.08"
"2024-07-11","1385.60","0.16","190.07","0.09","857.53","0.02","1501.02000","0.32"
"2024-07-10","1383.40","0.29","189.89","0.40","857.36","-0.09","1496.22000","0.17"
"2024-07-09","1379.40","0.03","189.13","-0.03","858.13","0.01","1493.68000","0.06"
"2024-07-08","1379.00","-0.21","189.18","-0.04","858.07","0.14","1492.77000","-0.09"
"2024-07-05","1381.90","-0.54","189.26","-0.46","856.86","-0.32","1494.04000","-0.33"
"2024-07-04","1389.40","0.14","190.13","0.02","859.59","0.02","1499.02000","0.53"
"2024-07-03","1387.40","0.48","190.09","0.49","859.42","0.47","1491.11000","0.58"
"2024-07-02","1380.80","-0.12","189.16","-0.10","855.38","-0.49","1482.56000","-0.12"
"2024-07-01","1382.40","-0.49","189.35","-0.57","859.57","-0.55","1484.35000","-0.18"
"2024-06-28","1389.20","-0.06","190.43","-0.09","864.31","-0.08","1487.07000","0.18"
"2024-06-27","1390.10","0.27","190.61","0.12","865.00","-0.38","1484.35000","-0.04"
"2024-06-26","1386.40","-0.24","190.39","-0.17","868.26","-0.24","1484.97000","-0.43"
"2024-06-25","1389.70","0.04","190.71","0.03","870.38","0.09","1491.43000","0.39"
"2024-06-24","1389.10","0.38","190.65","0.34","869.63","-0.14","1485.64000","0.30"
"2024-06-21","1383.80","0.22","190.01","0.09","870.89","-0.36","1481.15000","-0.18"
"2024-06-20","1380.80","0.02","189.84","-0.02","874.01","-0.07","1483.88000","0.08"
"2024-06-19","1380.50","0.01","189.88","0.02","874.62","-0.07","1482.66000","0.04"
"2024-06-18","1380.40","0.20","189.84","0.18","875.22","0.08","1482.00000","0.49"
"2024-06-17","1377.70","0.49","189.50","0.20","874.56","0.23","1474.76000","0.16"
"2024-06-14","1371.00","-0.49","189.12","-0.16","872.58","-0.68","1472.45000","-1.16"
"2024-06-13","1377.80","0.03","189.43","-0.05","878.56","0.25","1489.75000","0.70"
"2024-06-12","1377.40","-0.04","189.52","-0.01","876.40","-0.11","1479.40000","-0.26"
"2024-06-11","1377.90","0.80","189.53","0.54","877.39","0.67","1483.24000","0.67"
"2024-06-10","1366.90","-0.34","188.51","-0.24","871.55","-1.13","1473.31000","-1.38"
"2024-06-07","1371.50","-0.12","188.96","-0.11","881.54","-0.59","1493.91000","-0.01"
"2024-06-05","1373.10","-0.33","189.16","-0.22","886.76","0.54","1494.00000","-0.58"
"2024-06-04","1377.60","-0.29","189.58","-0.47","882.03","0.41","1502.75000","0.24"
"2024-06-03","1381.60","0.37","190.48","0.69","878.41","0.06","1499.17000","0.54"
"2024-05-31","1376.50","0.86","189.18","0.75","877.84","1.41","1491.09000","1.16"
"2024-05-30","1364.80","0.39","187.77","0.30","865.63","0.11","1474.05000","-0.12"
"2024-05-29","1359.50","-0.43","187.21","-0.50","864.71","-0.62","1475.81000","-0.47"
"2024-05-28","1365.40","-0.34","188.15","-0.35","870.10","-0.38","1482.76000","-0.24"
"2024-05-27","1370.00","0.40","188.82","0.48","873.42","0.49","1486.31000","0.74"
"2024-05-24","1364.50","0.10","187.91","-0.05","869.14","-0.06","1475.43000","-0.02"
"2024-05-23","1363.10","-0.10","188.01","-0.19","869.63","-0.41","1475.69000","-0.38"
"2024-05-22","1364.40","0.60","188.36","0.46","873.24","0.62","1481.33000","0.57"
"2024-05-21","1356.20","0.07","187.49","-0.03","867.83","-0.28","1472.97000","-0.03"
"2024-05-20","1355.20","0.43","187.54","0.35","870.25","0.22","1473.44000","0.48"
"2024-05-17","1349.40","-1.43","186.89","-1.16","868.37","-1.92","1466.46000","-1.63"
"2024-05-16","1369.00","-0.08","189.08","-0.07","885.37","0.96","1490.70000","0.84"
"2024-05-14","1370.10","0.16","189.21","-0.03","876.95","-0.12","1478.27000","0.30"
"2024-05-13","1367.90","0.00","189.27","0.04","878.01","-0.29","1473.78000","-0.10"
"2024-05-10","1367.90","0.26","189.20","0.24","880.53","0.39","1475.21000","0.59"
"2024-05-09","1364.40","0.49","188.74","0.32","877.12","-0.04","1466.53000","0.47"
"2024-05-08","1357.80","-0.54","188.13","-0.75","877.44","-0.95","1459.70000","-0.69"
"2024-05-07","1365.20","-0.96","189.55","-0.40","885.83","-1.57","1469.84000","-0.62"
"2024-05-03","1378.50","0.04","190.31","0.21","899.92","1.55","1479.06000","0.18"
"2024-05-02","1378.00","-0.05","189.92","-0.07","886.17","0.40","1476.46000","-0.07"
"2024-04-30","1378.70","0.20","190.05","0.27","882.68","1.56","1477.48000","0.34"
"2024-04-29","1375.90","-0.05","189.54","0.02","869.12","-1.77","1472.49000","-0.31"
"2024-04-26","1376.60","0.48","189.51","0.45","884.79","0.26","1477.09000","0.79"
"2024-04-25","1370.00","-0.57","188.67","-0.65","882.48","-0.87","1465.56000","-0.63"
"2024-04-24","1377.90","-0.20","189.90","-0.33","890.26","-0.18","1474.84000","0.26"
"2024-04-23","1380.60","-0.32","190.53","-0.25","891.89","-0.45","1470.96000","-0.37"
"2024-04-22","1385.00","0.66","191.00","0.68","895.89","0.69","1476.48000","0.85"
"2024-04-19","1375.90","-0.75","189.71","-0.59","889.77","-0.96","1464.10000","-1.04"
"2024-04-18","1386.30","-0.65","190.83","-0.60","898.36","-0.39","1479.46000","-0.16"
"2024-04-17","1395.30","0.84","191.99","0.74","901.91","0.50","1481.88000","0.77"
"2024-04-16","1383.70","0.88","190.58","0.76","897.43","0.29","1470.60000","0.72"
"2024-04-15","1371.60","0.58","189.14","0.59","894.80","0.53","1460.14000","-0.19"
"2024-04-12","1363.70","0.69","188.03","0.55","890.06","0.51","1462.98000","0.55"
"2024-04-11","1354.40","0.06","187.01","0.20","885.55","-0.67","1455.03000","-1.04"
"2024-04-09","1353.60","0.13","186.63","0.02","891.49","0.01","1470.28000","0.40"
"2024-04-08","1351.80","0.37","186.60","0.39","891.37","0.09","1464.40000","0.32"
"2024-04-05","1346.80","-0.17","185.88","-0.02","890.53","0.07","1459.80000","-0.15"
"2024-04-04","1349.10","-0.29","185.92","-0.11","889.88","-0.31","1462.02000","0.36"
"2024-04-03","1353.00","0.44","186.13","0.24","892.69","0.49","1456.84000","0.73"
"2024-04-02","1347.10","-0.02","185.68","0.03","888.32","-0.20","1446.25000","-0.49"
"2024-04-01","1347.40","0.04","185.63","-0.06","890.11","0.07","1453.44000","0.04"
"2024-03-29","1346.80","0.07","185.75","0.10","889.48","0.03","1452.93000","-0.14"
"2024-03-28","1345.80","0.54","185.57","0.38","889.17","0.67","1455.01000","0.34"
"2024-03-27","1338.60","-0.16","184.86","-0.01","883.24","-0.26","1450.04000","-0.21"
"2024-03-26","1340.70","0.34","184.88","0.21","885.56","0.19","1453.12000","0.63"
"2024-03-25","1336.10","0.74","184.49","0.24","883.87","1.07","1444.06000","0.25"
"2024-03-22","1326.30","-0.93","184.04","-0.85","874.49","-1.43","1440.49000","-1.57"
"2024-03-21","1338.70","0.01","185.62","-0.01","887.17","0.04","1463.40000","0.64"
"2024-03-20","1338.50","0.41","185.64","0.33","886.81","-0.83","1454.15000","0.34"
"2024-03-19","1333.00","0.35","185.03","0.39","894.24","0.31","1449.24000","0.23"
"2024-03-18","1328.40","0.87","184.32","0.70","891.51","0.38","1445.90000","0.88"
"2024-03-15","1316.90","0.31","183.04","0.28","888.12","-0.11","1433.25000","-0.29"
"2024-03-14","1312.80","0.13","182.53","-0.05","889.10","0.06","1437.45000","0.32"
"2024-03-13","1311.10","-0.25","182.63","-0.03","888.55","-0.69","1432.90000","-0.22"
"2024-03-12","1314.40","-0.66","182.69","-0.64","894.73","-0.64","1436.05000","-0.78"
"2024-03-11","1323.10","-0.49","183.86","-0.35","900.47","0.18","1447.34000","-0.57"
"2024-03-08","1329.60","-0.46","184.50","-0.44","898.89","0.48","1455.71000","-0.02"
"2024-03-07","1335.70","0.19","185.32","0.13","894.61","0.57","1456.05000","0.59"
"2024-03-06","1333.20","0.23","185.08","0.29","889.57","0.61","1447.52000","0.23"
"2024-03-05","1330.10","-0.30","184.55","-0.31","884.20","-0.50","1444.22000","-0.16"
"2024-03-04","1334.10","0.01","185.12","0.14","888.66","0.33","1446.56000","0.04"
"2024-02-29","1334.00","0.20","184.86","0.10","885.76","0.12","1445.92000","0.15"
"2024-02-28","1331.30","-0.01","184.67","-0.05","884.73","0.13","1443.73000","-0.07"
"2024-02-27","1331.40","0.16","184.76","0.13","883.57","0.05","1444.70000","0.43"
"2024-02-26","1329.30","-0.13","184.52","-0.25","883.11","-0.16","1438.57000","-0.15"
"2024-02-23","1331.00","-0.30","184.99","-0.36","884.53","-0.40","1440.74000","-0.28"
"2024-02-22","1335.00","-0.22","185.65","0.01","888.08","-0.46","1444.80000","-0.08"
"2024-02-21","1337.90","0.31","185.63","0.30","892.20","0.43","1446.00000","0.59"
"2024-02-20","1333.80","0.06","185.07","0.23","888.37","0.04","1437.57000","0.06"
"2024-02-19","1333.00","-0.02","184.64","0.08","888.05","-0.16","1436.71000","0.01"
"2024-02-16","1333.20","-0.28","184.49","-0.32","889.48","0.11","1436.59000","0.15"
"2024-02-15","1336.90","0.64","185.09","0.63","888.48","0.73","1434.49000","0.82"
"2024-02-14","1328.40","0.09","183.93","-0.15","882.04","-0.76","1422.78000","-0.48"
"2024-02-13","1327.20","0.14","184.20","0.04","888.80","-0.71","1429.66000","132589.22"
"2024-02-08","1325.30","-0.32","184.13","-0.21","895.20","-0.49","1.07745","0.17"
"2024-02-07","1329.60","-0.37","184.51","-0.36","899.65","0.21","1.07560","0.12"
"2024-02-06","1334.60","0.72","185.18","0.38","897.75","0.62","1.07430","-0.28"
"2024-02-05","1325.10","-0.56","184.48","-0.39","892.23","-1.98","1.07730","-0.95"
"2024-02-02","1332.50","-0.07","185.21","-0.23","910.24","0.23","1.08760","0.57"
"2024-02-01","1333.50","0.22","185.63","0.26","908.19","0.70","1.08145","-0.29"
"2024-01-31","1330.60","-0.47","185.15","-0.38","901.89","-0.53","1.08455","0.08"
