YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,15203,감자 대지,20키로상자,상,51219.8571428571,52660.1111111111,52550.3333333333,56231.0,44956.9021164021
201801상순,15203,감자 대지,20키로상자,중,35185.2857142857,33550.0,37815.3333333333,24744.0,25727.3492063492
201801상순,15203,감자 대지,20키로상자,특,60523.8571428571,62766.6666666666,57000.0,75666.6666666666,52103.8571428571
201801상순,15203,감자 대지,20키로상자,하,16557.1428571428,15345.6666666666,16813.0,10474.0,10360.0423280423
201801상순,15205,감자 수미,20키로상자,하,16115.2857142857,14872.3333333333,12291.875,11022.8571428571,10598.9523809523
201801상순,15205,감자 수미,20키로상자,중,32111.8571428571,31538.6666666666,26646.125,22409.8571428571,19422.4259259259
201801상순,15205,감자 수미,20키로상자,특,61074.1428571428,60808.3333333333,53811.75,58050.7142857142,33834.1468253968
201801상순,24505,깐쪽파,10키로상자,특,64458.2857142857,68097.4444444444,46191.375,76271.4285714285,80877.328042328
201801상순,24505,깐쪽파,10키로상자,중,45630.5714285714,50124.7777777777,31098.875,49948.8571428571,49004.8227513227
201801상순,24505,깐쪽파,10키로상자,상,54539.8571428571,59842.6666666666,38818.75,63842.0,65245.0
201801상순,24505,깐쪽파,10키로상자,하,36638.2857142857,37420.4444444444,22555.5,36103.5714285714,35104.6164021163
201801상순,24202,꽈리고추,4키로상자,상,27010.0,24600.4444444444,15247.125,28457.8571428571,26418.1329365079
201801상순,24202,꽈리고추,4키로상자,중,24359.7142857142,22402.3333333333,13171.125,26159.7142857142,23791.238095238
201801상순,24202,꽈리고추,4키로상자,특,29987.0,27393.1111111111,18334.25,31592.8571428571,29867.5634920634
