년도,품목명,재배면적(ha),생산량(톤)
2018,배추,31143,2391946
2018,상추,3773,93543
2019,배추,25837,1859705
2019,상추,3629,95582
2020,배추,30949,2242640
2020,상추,3814,96774
2021,배추,30085,2017507
2021,상추,3830,97137
2022,배추,30537,2199070
2022,상추,3904,101831
2018,사과,33234,475303
2018,배,10303,203166
2019,사과,32954,535324
2019,배,9615,200732
2020,사과,31598,422115
2020,배,9091,132580
2021,사과,34359,515931
2021,배,9675,210293
2022,사과,34603,566041
2022,배,9680,251093
2018,감자,23402,548065
2019,감자,26829,690419
2020,감자,23599,553194
2021,감자,21745,554893
2022,감자,20088,480601
2018,무,23406,1234561
2019,무,19503,1110874
2020,무,20519,1178631
2021,무,20272,1172345
2022,무,19796,1190610
2018,건고추,28824,71509
2018,파,18757,489864
2018,양파,26425,1520969
2018,마늘,28351,331741
2019,건고추,31644,78437
2019,파,17170,463721
2019,양파,21777,1594450
2019,마늘,27689,387671
2020,건고추,31146,60076
2020,파,15632,417881
2020,양파,14673,1168227
2020,마늘,25372,363432
2021,건고추,33373,92757
2021,파,18202,493162
2021,양파,18461,1576752
2021,마늘,21999,308532
2022,건고추,29770,68984
2022,파,16377,448632
2022,양파,17661,1195563
2022,마늘,22362,272759
