YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,152,감자,2,대지마,중품,g,100,516,0,0,0,0.0
201801상순,152,감자,1,수미,중품,g,100,265,0,250,210,194.666666666666
201801상순,152,감자,1,수미,상품,g,100,331,0,374,321,266.666666666666
201801상순,152,감자,2,대지마,상품,g,100,603,0,0,773,0.0
201801상순,241,건고추,2,양건,상품,g,600,20674,0,20704,11409,12557.3333333333
201801상순,241,건고추,0,화건,중품,g,600,15759,0,15762,8478,9060.0
201801상순,241,건고추,0,화건,상품,g,600,17557,0,17488,9894,10442.6666666666
201801상순,241,건고추,2,양건,중품,g,600,18115,0,18092,10285,11311.0
201801상순,258,깐마늘(국산),1,깐마늘(국산),중품,kg,1,7489,0,7467,8328,6140.33333333333
201801상순,258,깐마늘(국산),1,깐마늘(국산),상품,kg,1,9662,0,9355,10496,7968.33333333333
201801상순,231,무,6,월동,중품,개,1,1310,0,0,2632,1199.33333333333
201801상순,231,무,6,월동,상품,개,1,1663,0,0,3079,1449.0
201801상순,412,배,1,신고,중품,개,10,17524,0,17314,18399,19890.0
201801상순,211,배추,3,가을,상품,포기,1,2925,0,2669,0,0.0
201801상순,211,배추,6,월동,상품,포기,1,2960,0,0,4344,2917.0
201801상순,211,배추,6,월동,중품,포기,1,2443,0,0,3174,2400.66666666666
201801상순,211,배추,3,가을,중품,포기,1,2384,0,1994,0,0.0
201801상순,411,사과,5,후지,중품,개,10,14945,0,14609,14109,14750.3333333333
201801상순,214,상추,1,적,상품,g,100,943,0,722,647,1069.33333333333
201801상순,214,상추,2,청,중품,g,100,617,0,427,432,754.666666666666
201801상순,214,상추,1,적,중품,g,100,669,0,482,483,814.666666666666
201801상순,245,양파,0,양파,상품,kg,1,2088,0,2143,1807,1868.33333333333
201801상순,245,양파,0,양파,중품,kg,1,1747,0,1749,1355,1358.66666666666
201801상순,246,파,0,대파,중품,kg,1,2087,0,1840,2496,2050.66666666666
201801상순,246,파,2,쪽파,상품,kg,1,5517,0,3299,7283,6614.0
201801상순,246,파,2,쪽파,중품,kg,1,4052,0,2185,5622,4579.66666666666
201801상순,246,파,0,대파,상품,kg,1,2967,0,2874,3704,3076.0
201801중순,152,감자,2,대지마,상품,g,100,583,0,576,802,0.0
201801중순,152,감자,1,수미,상품,g,100,340,0,359,302,256.0
201801중순,152,감자,1,수미,중품,g,100,274,0,254,221,199.666666666666
201801중순,152,감자,2,대지마,중품,g,100,479,0,541,0,0.0
201801중순,241,건고추,2,양건,상품,g,600,21071,0,20535,11221,12561.3333333333
201801중순,241,건고추,2,양건,중품,g,600,18426,0,18085,10046,11314.0
201801중순,241,건고추,0,화건,상품,g,600,17745,0,17529,9768,10444.0
201801중순,241,건고추,0,화건,중품,g,600,15881,0,15762,8320,9061.66666666666
201801중순,258,깐마늘(국산),1,깐마늘(국산),상품,kg,1,9698,0,9565,10262,7880.0
201801중순,258,깐마늘(국산),1,깐마늘(국산),중품,kg,1,7487,0,7466,8332,6188.66666666666
201801중순,231,무,6,월동,중품,개,1,1360,0,1347,2201,1182.33333333333
201801중순,231,무,6,월동,상품,개,1,1570,0,1675,2716,1420.0
201801중순,412,배,1,신고,중품,개,10,17788,0,17216,19214,20230.0
201801중순,211,배추,6,월동,중품,포기,1,2534,0,0,3070,2286.66666666666
201801중순,211,배추,6,월동,상품,포기,1,3038,0,0,4144,2848.0
201801중순,411,사과,5,후지,중품,개,10,14833,0,15168,14136,15112.6666666666
201801중순,214,상추,1,적,중품,g,100,692,0,497,490,694.333333333333
201801중순,214,상추,2,청,중품,g,100,623,0,445,427,623.666666666666
