년도,기준년월,"수출입구분:수입-I, 수출-E",AGCODE,HSCODE,국가코드,당월중량(kg),당월금액($),누계중량(kg),누계금액($)
2018,201801,E,112011001,710100000,RU,18942.0,51830,18942.0,51830
2018,201801,E,112011900,701900000,HK,11400.0,8242,11400.0,8242
2018,201801,E,112011900,701900000,RU,39564.0,102796,39564.0,102796
2018,201801,E,112012001,1105100000,CI,50.0,176,50.0,176
2018,201801,E,112012001,1105100000,GB,1315.0,878,1315.0,878
2018,201801,E,112012001,1105100000,JP,960.0,5105,960.0,5105
2018,201801,E,112012001,1105100000,VN,36555.0,54079,36555.0,54079
2018,201801,E,112012002,1105200000,AU,14185.0,42495,14185.0,42495
2018,201801,E,112015901,2004100000,AU,389.0,325,389.0,325
2018,201801,E,112015901,2004100000,HK,20502.72,33564,20502.72,33564
2018,201801,E,112015901,2004100000,SG,6.1,16,6.1,16
2018,201801,E,112015904,2005209000,CA,1185.6,12768,1185.6,12768
2018,201801,E,112015904,2005209000,CN,7781.8,75851,7781.8,75851
2018,201801,E,112015904,2005209000,HK,366.0,3939,366.0,3939
2018,201801,E,112015904,2005209000,JP,1015.0,10410,1015.0,10410
2018,201801,E,112015904,2005209000,MN,65.76,752,65.76,752
2018,201801,E,112015904,2005209000,MY,27.0,355,27.0,355
2018,201801,E,112015904,2005209000,PH,147.0,1829,147.0,1829
2018,201801,E,112015904,2005209000,SG,76.92,1457,76.92,1457
2018,201801,E,112015904,2005209000,TW,200.2,1671,200.2,1671
2018,201801,E,112015904,2005209000,US,1050.0,6922,1050.0,6922
2018,201801,E,112015904,2005209000,VN,1021.8,11764,1021.8,11764
2018,201801,E,116010101,808100000,AE,100.0,422,100.0,422
2018,201801,E,116010101,808100000,DE,5.0,26,5.0,26
2018,201801,E,116010101,808100000,GU,2366.5,16859,2366.5,16859
2018,201801,E,116010101,808100000,HK,47343.81,168077,47343.81,168077
2018,201801,E,116010101,808100000,KH,650.0,1715,650.0,1715
2018,201801,E,116010101,808100000,MN,15261.1,41605,15261.1,41605
2018,201801,E,116010101,808100000,MY,16270.0,59270,16270.0,59270
2018,201801,E,116010101,808100000,RU,10600.0,23481,10600.0,23481
2018,201801,E,116010101,808100000,SG,4340.0,13053,4340.0,13053
2018,201801,E,116010101,808100000,TH,610.0,6537,610.0,6537
2018,201801,E,116010101,808100000,TW,304435.0,724387,304435.0,724387
2018,201801,E,116010101,808100000,VN,79368.0,245057,79368.0,245057
2018,201801,E,116010102,813300000,CA,36.0,935,36.0,935
2018,201801,E,116010102,813300000,CN,80.0,8292,80.0,8292
2018,201801,E,116010102,813300000,HK,103.74,4618,103.74,4618
2018,201801,E,116010102,813300000,TW,17.64,1783,17.64,1783
2018,201801,E,116010102,813300000,VN,6.0,676,6.0,676
2018,201801,E,116015101,2009710000,BD,1080.0,841,1080.0,841
2018,201801,E,116015102,2009790000,BD,2160.0,1702,2160.0,1702
2018,201801,E,116015900,2008992000,CN,1288.0,965,1288.0,965
2018,201801,E,116015900,2008992000,HK,2400.0,7802,2400.0,7802
2018,201801,E,116015900,2008992000,MN,1.2,136,1.2,136
2018,201801,E,116015900,2008992000,TW,6840.0,17925,6840.0,17925
2018,201801,E,116015900,2008992000,US,1260.0,3300,1260.0,3300
2018,201801,E,116020121,808300000,AE,9300.0,25189,9300.0,25189
2018,201801,E,116020121,808300000,AU,12800.0,42020,12800.0,42020
2018,201801,E,116020121,808300000,BR,7579.6,16728,7579.6,16728
2018,201801,E,116020121,808300000,CA,54760.64,145495,54760.64,145495
2018,201801,E,116020121,808300000,DE,8.0,26,8.0,26
2018,201801,E,116020121,808300000,GU,11560.0,26347,11560.0,26347
2018,201801,E,116020121,808300000,HK,77101.2,151170,77101.2,151170
2018,201801,E,116020121,808300000,ID,75770.0,185486,75770.0,185486
2018,201801,E,116020121,808300000,MN,6007.18,14074,6007.18,14074
2018,201801,E,116020121,808300000,MP,2020.0,6536,2020.0,6536
2018,201801,E,116020121,808300000,MY,9230.0,25726,9230.0,25726
2018,201801,E,116020121,808300000,QA,450.0,1381,450.0,1381
2018,201801,E,116020121,808300000,RU,8430.0,17183,8430.0,17183
2018,201801,E,116020121,808300000,SG,31790.0,68856,31790.0,68856
2018,201801,E,116020121,808300000,TH,27390.0,103896,27390.0,103896
2018,201801,E,116020121,808300000,TW,2162803.5,4516938,2162803.5,4516938
2018,201801,E,116020121,808300000,US,1060159.88,2894088,1060159.88,2894088
2018,201801,E,116020121,808300000,VN,1552497.8,2742027,1552497.8,2742027
2018,201801,E,116025900,2008400000,HK,1080.0,3274,1080.0,3274
2018,201801,E,121010100,704902000,AE,415.0,1441,415.0,1441
2018,201801,E,121010100,704902000,CA,151281.0,90623,151281.0,90623
2018,201801,E,121010100,704902000,GB,7128.0,4198,7128.0,4198
2018,201801,E,121010100,704902000,GU,12185.0,14574,12185.0,14574
2018,201801,E,121010100,704902000,HK,10860.0,5218,10860.0,5218
2018,201801,E,121010100,704902000,JP,345645.0,232312,345645.0,232312
2018,201801,E,121010100,704902000,KI,1281.0,3635,1281.0,3635
2018,201801,E,121010100,704902000,MP,19500.0,35259,19500.0,35259
2018,201801,E,121010100,704902000,MY,31500.0,16234,31500.0,16234
2018,201801,E,121010100,704902000,SG,119.0,663,119.0,663
2018,201801,E,121010100,704902000,TW,1210230.0,643566,1210230.0,643566
2018,201801,E,121010100,704902000,VN,6000.0,3530,6000.0,3530
2018,201801,E,121210100,706901000,CA,67720.0,26890,67720.0,26890
2018,201801,E,121210100,706901000,GB,8800.0,5568,8800.0,5568
2018,201801,E,121210100,706901000,GU,5400.0,5464,5400.0,5464
2018,201801,E,121210100,706901000,HK,4750.0,1428,4750.0,1428
2018,201801,E,121210100,706901000,JP,13520.0,6128,13520.0,6128
2018,201801,E,121210100,706901000,MP,3750.0,3568,3750.0,3568
2018,201801,E,121210100,706901000,RU,10140.0,12262,10140.0,12262
2018,201801,E,121210100,706901000,TH,3000.0,1755,3000.0,1755
2018,201801,E,121210100,706901000,US,1061200.0,444544,1061200.0,444544
2018,201801,E,121210400,712902020,AE,800.0,1051,800.0,1051
2018,201801,E,121210400,712902020,AU,114.0,1608,114.0,1608
2018,201801,E,121210400,712902020,CA,212.0,4248,212.0,4248
2018,201801,E,121210400,712902020,GB,30.0,510,30.0,510
2018,201801,E,121210400,712902020,IQ,30.0,293,30.0,293
2018,201801,E,121210400,712902020,JP,80.0,568,80.0,568
2018,201801,E,121210400,712902020,MM,800.0,120,800.0,120
2018,201801,E,121210400,712902020,NZ,148.0,1304,148.0,1304
2018,201801,E,121210400,712902020,US,312.5,5146,312.5,5146
2018,201801,E,121210400,712902020,VN,135.0,80,135.0,80
2018,201801,E,121440200,710802000,JP,230.28,3066,230.28,3066
2018,201801,E,121440300,711901000,MP,6.0,126,6.0,126
2018,201801,E,121440400,712901000,AU,12.0,187,12.0,187
2018,201801,E,121440400,712901000,FR,7.0,12,7.0,12
2018,201801,E,121440400,712901000,JP,84.0,1109,84.0,1109
2018,201801,E,121440400,712901000,SA,5.0,10,5.0,10
2018,201801,E,121440500,703201000,DE,18.0,245,18.0,245
2018,201801,E,121440500,703201000,HK,622.0,4505,622.0,4505
2018,201801,E,121440500,703201000,NL,30.0,387,30.0,387
2018,201801,E,121440500,703201000,SG,77.0,780,77.0,780
2018,201801,E,121440600,703209000,RU,12868.0,31076,12868.0,31076
2018,201801,E,121445300,2001909060,MP,10.0,30,10.0,30
2018,201801,E,121445300,2001909060,US,533.12,3764,533.12,3764
2018,201801,E,121610102,709609000,CA,100.0,525,100.0,525
2018,201801,E,121610102,709609000,CN,360.0,891,360.0,891
2018,201801,E,121610102,709609000,GB,114.0,804,114.0,804
2018,201801,E,121610102,709609000,GU,8.0,82,8.0,82
2018,201801,E,121610102,709609000,HK,48.0,349,48.0,349
2018,201801,E,121610102,709609000,JP,24225.5,169295,24225.5,169295
2018,201801,E,121610102,709609000,MP,100.0,1162,100.0,1162
2018,201801,E,121610102,709609000,SG,362.0,2393,362.0,2393
2018,201801,E,121610123,904220000,AE,50.0,3175,50.0,3175
2018,201801,E,121610123,904220000,AT,1900.0,9300,1900.0,9300
2018,201801,E,121610123,904220000,AU,18337.06,85707,18337.06,85707
2018,201801,E,121610123,904220000,BR,250.0,1227,250.0,1227
2018,201801,E,121610123,904220000,CA,22963.6,111669,22963.6,111669
2018,201801,E,121610123,904220000,CH,380.0,1840,380.0,1840
2018,201801,E,121610123,904220000,CI,10.0,151,10.0,151
2018,201801,E,121610123,904220000,CN,10.0,115,10.0,115
2018,201801,E,121610123,904220000,CZ,810.0,3759,810.0,3759
2018,201801,E,121610123,904220000,DE,1150.0,6176,1150.0,6176
2018,201801,E,121610123,904220000,GB,1417.2,7359,1417.2,7359
2018,201801,E,121610123,904220000,GU,428.6,2255,428.6,2255
2018,201801,E,121610123,904220000,HK,49.0,923,49.0,923
2018,201801,E,121610123,904220000,IN,236.2,1374,236.2,1374
2018,201801,E,121610123,904220000,IQ,1092.0,4580,1092.0,4580
2018,201801,E,121610123,904220000,IR,50.0,258,50.0,258
2018,201801,E,121610123,904220000,JO,20.0,79,20.0,79
2018,201801,E,121610123,904220000,JP,36610.0,310140,36610.0,310140
2018,201801,E,121610123,904220000,KH,6230.0,27569,6230.0,27569
2018,201801,E,121610123,904220000,KW,1200.0,5114,1200.0,5114
2018,201801,E,121610123,904220000,LA,1010.0,4652,1010.0,4652
2018,201801,E,121610123,904220000,MY,3279.64,13836,3279.64,13836
2018,201801,E,121610123,904220000,NL,1302.5,5627,1302.5,5627
2018,201801,E,121610123,904220000,NO,200.0,908,200.0,908
2018,201801,E,121610123,904220000,PH,13120.0,51918,13120.0,51918
2018,201801,E,121610123,904220000,SG,2162.4,10555,2162.4,10555
2018,201801,E,121610123,904220000,TW,49027.0,172058,49027.0,172058
2018,201801,E,121610123,904220000,US,64541.58,298951,64541.58,298951
2018,201801,E,121610123,904220000,VN,15854.8,68467,15854.8,68467
2018,201801,E,121610123,904220000,ZA,500.0,2650,500.0,2650
2018,201801,E,121610200,710807000,GU,100.0,604,100.0,604
2018,201801,I,112011001,710100000,CN,36000.0,29573,36000.0,29573
2018,201801,I,112011001,710100000,US,259129.56,347486,259129.56,347486
2018,201801,I,112011001,710100000,VN,18680.0,19000,18680.0,19000
2018,201801,I,112011900,701900000,AU,1292901.0,752683,1292901.0,752683
2018,201801,I,112011900,701900000,US,2625024.82,1421520,2625024.82,1421520
2018,201801,I,112012001,1105100000,US,55574.25,92580,55574.25,92580
2018,201801,I,112012002,1105200000,US,88922.11,146176,88922.11,146176
2018,201801,I,112015901,2004100000,BE,700392.16,919914,700392.16,919914
2018,201801,I,112015901,2004100000,CA,1137523.0,1845886,1137523.0,1845886
2018,201801,I,112015901,2004100000,CN,119441.6,206639,119441.6,206639
2018,201801,I,112015901,2004100000,DE,9967.4,15217,9967.4,15217
2018,201801,I,112015901,2004100000,FR,2738.0,6334,2738.0,6334
2018,201801,I,112015901,2004100000,MY,55.25,539,55.25,539
2018,201801,I,112015901,2004100000,NL,290991.5,333154,290991.5,333154
2018,201801,I,112015901,2004100000,NZ,29400.0,41622,29400.0,41622
2018,201801,I,112015901,2004100000,PL,362.88,693,362.88,693
2018,201801,I,112015901,2004100000,US,9335162.87,11644695,9335162.87,11644695
2018,201801,I,112015903,2005201000,CH,300.0,2406,300.0,2406
2018,201801,I,112015903,2005201000,US,27.36,353,27.36,353
2018,201801,I,112015904,2005209000,BH,7560.0,20412,7560.0,20412
2018,201801,I,112015904,2005209000,CN,40020.0,37055,40020.0,37055
2018,201801,I,112015904,2005209000,DE,17.64,64,17.64,64
2018,201801,I,112015904,2005209000,ES,4514.93,79453,4514.93,79453
2018,201801,I,112015904,2005209000,FR,20.0,340,20.0,340
2018,201801,I,112015904,2005209000,IN,31556.0,57032,31556.0,57032
2018,201801,I,112015904,2005209000,JP,615.6,12470,615.6,12470
2018,201801,I,112015904,2005209000,NL,25.5,118,25.5,118
2018,201801,I,112015904,2005209000,SE,4.11,66,4.11,66
2018,201801,I,112015904,2005209000,US,20721.48,124106,20721.48,124106
2018,201801,I,112015904,2005209000,VN,1051.3,1735,1051.3,1735
2018,201801,I,116010102,813300000,CN,0.5,14,0.5,14
2018,201801,I,116010102,813300000,PT,0.6,30,0.6,30
2018,201801,I,116010102,813300000,US,12.29,702,12.29,702
2018,201801,I,116015101,2009710000,AU,7265.28,23595,7265.28,23595
2018,201801,I,116015101,2009710000,CL,6.8,50,6.8,50
2018,201801,I,116015101,2009710000,ES,60480.0,53001,60480.0,53001
2018,201801,I,116015101,2009710000,GB,192.0,154,192.0,154
2018,201801,I,116015101,2009710000,IT,20752.38,28753,20752.38,28753
2018,201801,I,116015101,2009710000,LV,12.0,58,12.0,58
2018,201801,I,116015101,2009710000,TR,5.1,30,5.1,30
2018,201801,I,116015101,2009710000,US,241619.45,365352,241619.45,365352
2018,201801,I,116015102,2009790000,AT,32218.75,56159,32218.75,56159
2018,201801,I,116015102,2009790000,CL,302791.0,410334,302791.0,410334
