YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,152,감자,1,수미,중품,kg,20,43829,0,41120,29200,22049.0
201801상순,152,감자,1,수미,상품,kg,20,49029,0,46320,33200,26164.3333333333
201801상순,241,건고추,2,양건,상품,kg,30,715000,0,768000,366429,465476.333333333
201801상순,241,건고추,2,양건,중품,kg,30,670000,0,723000,316429,415476.333333333
201801상순,241,건고추,0,화건,중품,kg,30,545000,0,593000,241429,338333.333333333
201801상순,258,깐마늘(국산),5,깐마늘(남도),중품,kg,20,124400,0,0,0,0.0
201801상순,258,깐마늘(국산),3,깐마늘(대서),중품,kg,20,118800,0,0,0,0.0
201801상순,258,깐마늘(국산),1,깐마늘(국산),중품,kg,20,118800,0,120480,136143,104714.333333333
201801상순,231,무,6,월동,중품,kg,20,7203,0,0,18829,8535.0
201801상순,231,무,6,월동,상품,kg,20,9214,0,0,24029,10535.0
201801상순,412,배,1,신고,중품,kg,15,29000,0,28200,33800,34790.3333333333
201801상순,412,배,1,신고,상품,kg,15,34200,0,33400,39371,42009.3333333333
201801상순,211,배추,3,가을,상품,kg,10,6690,0,5704,0,0.0
201801상순,211,배추,3,가을,중품,kg,10,5690,0,4704,0,0.0
201801상순,211,배추,6,월동,상품,kg,10,7000,0,0,9714,6411.33333333333
201801상순,211,배추,6,월동,중품,kg,10,6000,0,0,7714,5078.0
201801상순,411,사과,5,후지,상품,kg,10,35029,0,33520,39429,40624.3333333333
201801상순,411,사과,5,후지,중품,kg,10,30171,0,28520,34629,35017.0
201801상순,214,상추,2,청,상품,kg,4,20657,0,13080,11029,22649.0
201801상순,214,상추,2,청,중품,kg,4,17057,0,10280,8114,19077.6666666666
201801상순,214,상추,1,적,중품,kg,4,20029,0,13120,10086,21900.0
201801상순,214,상추,1,적,상품,kg,4,23914,0,17000,13429,25566.6666666666
201801상순,245,양파,0,양파,상품,kg,15,17957,0,18480,17164,16607.0
201801상순,245,양파,0,양파,중품,kg,15,14507,0,15060,15021,14842.6666666666
