YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,21100,배추,10키로망대,상,5419.85714285714,5293.33333333333,5242.125,9213.42857142857,6071.72619047619
201801중순,21100,배추,10키로망대,상,5319.33333333333,5419.85714285714,5553.22222222222,9083.77777777777,5938.14351851851
201801하순,21100,배추,10키로망대,상,6734.77777777777,5319.33333333333,5293.33333333333,8292.16666666666,6245.35185185184
201802상순,21100,배추,10키로망대,상,8942.22222222222,6734.77777777777,5419.85714285714,9323.0,6413.72023809523
201802중순,21100,배추,10키로망대,상,7247.16666666666,8942.22222222222,5319.33333333333,9243.25,7099.14682539682
201802하순,21100,배추,10키로망대,상,7890.71428571428,7247.16666666666,6734.77777777777,8866.57142857143,7303.74603174603
201803상순,21100,배추,10키로망대,상,8168.22222222222,7890.71428571428,8942.22222222222,8641.0,7526.08333333333
201803중순,21100,배추,10키로망대,상,7796.625,8168.22222222222,7247.16666666666,8090.375,7194.05092592592
201803하순,21100,배추,10키로망대,상,7996.1,7796.625,7890.71428571428,6777.9,6674.0037037037
201804상순,21100,배추,10키로망대,상,7503.375,7996.1,8168.22222222222,6241.25,6520.00925925926
201804중순,21100,배추,10키로망대,상,7082.22222222222,7503.375,7796.625,5653.55555555555,6365.14814814814
201804하순,21100,배추,10키로망대,상,6637.25,7082.22222222222,7996.1,6812.75,6845.54629629629
201805상순,21100,배추,10키로망대,상,5589.44444444444,6637.25,7503.375,4340.44444444444,5822.19444444444
201805중순,21100,배추,10키로망대,상,4656.75,5589.44444444444,7082.22222222222,3352.88888888888,6993.99074074074
201805하순,21100,배추,10키로망대,상,3770.7,4656.75,6637.25,3292.44444444444,5554.24074074074
201806상순,21100,배추,10키로망대,상,3345.125,3770.7,5589.44444444444,3719.0,4441.91203703703
201806중순,21100,배추,10키로망대,상,4073.44444444444,3345.125,4656.75,3223.125,4604.60185185185
