YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801하순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,590833.0,285000.0,380000.0
201802상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,590000.0,280000.0,380000.0
201802중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,590000.0,280000.0,376666.666666666
201802하순,241.0,건고추,0.0,화건,상품,kg,30.0,580833.0,0.0,590000.0,280000.0,376666.666666666
201803상순,241.0,건고추,0.0,화건,상품,kg,30.0,563333.0,0.0,590000.0,283571.0,376666.666666666
201803중순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,590000.0,285000.0,375208.333333333
201803하순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,580833.0,285000.0,372333.333333333
201804상순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,563333.0,285000.0,371000.0
201804중순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,575000.0,280625.0,368143.0
201804하순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,575000.0,280000.0,363762.0
201805상순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,575000.0,280000.0,361619.0
201805중순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,575000.0,275286.0,359333.333333333
201805하순,241.0,건고추,0.0,화건,상품,kg,30.0,575000.0,0.0,575000.0,273000.0,359333.333333333
201806상순,241.0,건고추,0.0,화건,상품,kg,30.0,591320.0,0.0,575000.0,273000.0,359666.666666666
201806중순,241.0,건고추,0.0,화건,상품,kg,30.0,599514.0,0.0,575000.0,285000.0,362458.333333333
201806하순,241.0,건고추,0.0,화건,상품,kg,30.0,600000.0,0.0,575000.0,298563.0,362666.666666666
201807상순,241.0,건고추,0.0,화건,상품,kg,30.0,600000.0,0.0,591320.0,307000.0,364333.333333333
